	title	journal	abstract	year	volume	DOI	screened	reviewer	access
Yang SZ; Liebner S; Winkel M; Alawi M; Horn F; Dorfer C; Ollivier J; He JS; Jin HJ; Kuhn P; Schloter M; Scholten T; Wagner D	In-depth analysis of core methanogenic communities from high elevation permafrost-affected wetlands	SOIL BIOLOGY & BIOCHEMISTRY	The organic carbon of permafrost affected soils is receiving particular attention with respect to its fate and potential feedback to global warming. The structural and activity changes of methanogenic communities in the degrading permafrost-affected wetlands on the Tibetan Plateau can serve as fundamental elements for modelling feedback interaction of ecosystems to climate change. Hence, we aimed at anticipating if and how the rapid environmental changes occurring especially on the high altitude Tibetan platform will affect methanogenic communities. We identified methanogenic community composition, activity and abundance in wetland soils with different hydrological settings, permafrost extent and soil properties and pinpoint the environmental controls. We show that despite a pronounced natural gradient, the Tibetan high elevation wetland soils host a large methanogenic core microbiome. Hydrogenotrophic methanogens, in particular Methanoregula, and H2-dependent methanogenesis were overall dominant although acetoclastic methanogens in addition to hydrogenotrophs were among the dominating taxa in a minerotrophic fen. Tracing the Methanoregula community of the Tibetan Plateau using public databases revealed its global relevance in natural terrestrial habitats. Unlike the composition, the activity and abundance of methanogens varied strongly in the studied soils with higher values in alpine swamps than in alpine meadows. This study indicates that in the course of current wetland and permafrost degradation and the loss in soil moisture, a decrease in the methane production potential is expected on the high Tibetan Plateau but it will not lead to pronounced changes within the methanogenic community structure. (C) 2017 The Authors. Published by Elsevier Ltd.	2017	111	10.1016/j.soilbio.2017.03.007	MAYBE	Dave	y
Kou YP; Li JB; Wang YS; Li CA; Tu B; Yao MJ; Li XZ	Scale-dependent key drivers controlling methane oxidation potential in Chinese grassland soils	SOIL BIOLOGY & BIOCHEMISTRY	Methane (CH4) oxidation plays a critical role in mitigating global warming. However, the key environmental drivers shaping CH4 oxidation rate at regional and sub-regional scales in grassland ecosystems remain poorly understood. In this study, we collected soils from 21 sites at the regional scale across three steppes of China, including grasslands in Inner Mongolia Plateau (IMP), Xinjiang Autonomous Region (XAR) and Tibetan Plateau (TP). Potential CH4 oxidation rate was measured, and the compositions and abundances of methanotrophs were analyzed by quantitative PCR (qPCR) and Miseq sequencing technique. The factors controlling CH4 oxidation potential at regional and sub-regional scales were evaluated by means of partial least squares path modeling (PLS-PM) and multiple regression on distance matrices (MRM). The results showed that the compositions and abundances of methanotrophs varied at different sub-regions. Type I methanotrophs were predominant in soils from the Inner Mongolia steppe and Xinjiang Autonomous Region, whereas pxmA methanotrophs mainly distributed in the Tibetan alpine steppe soil. Measured environmental variables explained the variations of CH4 oxidation potential well at both regional and sub-regional scales in these Chinese grassland ecosystems. However, the contributions of different variables to CH4 oxidation potential were scale-dependent. At the regional scale, total nitrogen (TN) was the environmental variable that best explained the potential CH4 oxidation rate, and its influence might be mainly associated with its effects on plant growth and methanotrophic community traits. At sub-regional scales, the main controlling variables were total organic carbon (TOC) and soil texture in Inner Mongolia steppe, aridity index (AI) and mean annual temperature (MAT) in Xinjiang Autonomous Region, and TN in Tibetan alpine steppe. These results further suggested that the impacts of environmental variables on CH4 oxidation rate were realized either through their effects on methanotrophic communities, and/or by affecting soil properties in the grassland ecosystems. (C) 2017 Elsevier Ltd. All rights reserved.	2017	111	10.1016/j.soilbio.2017.04.005	MAYBE	Dave	n
Chen YL; Xu TL; Veresoglou SD; Hu HW; Hao ZP; Hu YJ; Liu L; Deng Y; Rillig MC; Chen BD	Plant diversity represents the prevalent determinant of soil fungal community structure across temperate grasslands in northern China	SOIL BIOLOGY & BIOCHEMISTRY	Fungi play an important regulating role in terrestrial ecosystem functioning. However, their biogeographic distribution patterns along combined gradients of plant communities and environmental variables across regional spatial scales remain poorly understood. This knowledge gap is particularly pronounced in arid and semi-arid grassland ecosystems, which occupy one third of the terrestrial surface of China. Here, a regional-scale field investigation was conducted to collect soil samples from 290 plots at 52 sites along a 4000 km transect in temperate grasslands of northern China to assess the distribution patterns of fungal communities. The high-throughput Illumina sequencing revealed that soil fungal communities were dominated by Ascomycota, Basidiomycota and Zygomycota across the temperate grasslands. Fungal richness increased with plant species richness and mean annual precipitation (MAP). Bray-Cutis dissimilarities in soil fungal community composition between sites were significantly correlated with plant community composition, geographical distance, and abiotic factors including MAP, mean annual temperature, soil pH, and soil organic carbon. Variation partitioning analysis revealed that variation in fungal community composition was mainly explained by plant community composition, followed by geographical distance and abiotic factors. Structural equation models further highlighted the significant role of plant species richness in determining soil fungal richness. Taken together, these results suggest that the regional-scale distribution pattern of soil fungal communities is predominantly mediated by plant community composition, and also by abiotic factors and geographical distance in arid and semi-arid temperate grasslands. (C) 2017 Elsevier Ltd. All rights reserved.	2017	110	10.1016/j.soilbio.2017.02.015	YES	Dave	y
Lohan KMP; Fleischer RC; Carney KJ; Holzer KK; Ruiz GM	Molecular characterisation of protistan species and communities in ships ballast water across three US coasts	DIVERSITY AND DISTRIBUTIONS	AimWe characterised protistan taxa in ships ballast water (BW) arriving to port systems across three U.S. coasts. Our goals were to compare (1) diversity and (2) community composition of protists in BW among and between port systems. LocationChesapeake Bay in Virginia (Port of Hampton Roads), Galveston Bay in Texas (Ports of Texas City, Houston and Bayport) and Prince William Sound in Alaska (Port of Valdez). MethodsWe collected 61 BW samples from 39 vessels from May to August 2013. We conducted amplicon-based high-throughput sequencing (HTS) using the hypervariable V4 domain of the small subunit (SSU) gene of the ribosomal RNA (rRNA) complex to identify protistan taxa. ResultsWe detected 8,561 OTUs from protistan taxa, including 35 taxonomic groups. We found high protistan diversity in the BW entering all three port systems, with the dominant taxa belonging to the Alveolata, Rhizaria and Stramenopiles. Thirty-eight taxa were found in high relative abundance (>10,000 sequences), and some were recovered from multiple samples within and across ports, indicating both a high relative abundance and frequency of introduction events. The composition of the protistan communities entering each of the port systems appeared to vary depending on BW source, with those entering Valdez being consistently more similar to each other than those entering other port systems. Main conclusionsThis study is the most comprehensive assessment of protistan diversity in BW and has important implications for microbial biogeography and invasions. Ships BW is importing distinct and diverse protistan communities to U.S. coasts with high propagule pressure for some taxa, creating opportunity for invasion by novel taxa. Further, our results demonstrate the broad-scale movement of marine protists that has occurred through BW, highlighting a discrepancy between the large magnitude of introductions and limited number of known microbial invasions.	2017	23	10.1111/ddi.12550	MAYBE	Dave	y
Wang XB; Lu XT; Yao J; Wang ZW; Deng Y; Cheng WX; Zhou JZ; Han XG	Habitat-specific patterns and drivers of bacterial beta-diversity in Chinas drylands	ISME JOURNAL	The existence of biogeographic patterns among most free-living microbial taxa has been well established, yet little is known about the underlying mechanisms that shape these patterns. Here, we examined soil bacterial beta-diversity across different habitats in the drylands of northern China. We evaluated the relative importance of environmental factors versus geographic distance to a distance-decay relationship, which would be explained by the relative effect of basic ecological processes recognized as drivers of diversity patterns in macrobial theoretical models such as selection and dispersal. Although the similarity of bacterial communities significantly declined with increasing geographic distance, the distance-decay slope and the relative importance of factors driving distance-decay patterns varied across different habitats. A strong distance-decay relationship was observed in the alpine grassland, where the community similarity was influenced only by the environmental factors. In contrast, geographic distance was solely responsible for community similarity in the desert. Even the average compositional similarity among locations in the desert was distinctly lower compared with those in other habitats. We found no evidence that dispersal limitation strongly influenced the beta-diversity of bacterial communities in the desert grassland and typical grassland. Together, our results provide robust evidence of habitat specificity for microbial diversity patterns and their underlying drivers. Our findings suggest that microorganisms also have multiple drivers of diversity patterns and some of which may be parallel to some fundamental processes for explaining biodiversity patterns in macroorganisms.	2017	11	10.1038/ismej.2017.11	YES	Dave	y
Suzuki S; Kaneko R; Kodama T; Hashihama F; Suwa S; Tanita I; Furuya K; Hamasaki K	Comparison of community structures between particle-associated and free-living prokaryotes in tropical and subtropical Pacific Ocean surface waters	JOURNAL OF OCEANOGRAPHY	The subtropical and tropical regions of the Pacific Ocean are less productive than other oceanic regions. Although particle association should be an important strategy for heterotrophic prokaryotes to survive in such environments, we have little information on particle-associated (PA) prokaryotes in these regions. The specific aim of this study was to determine bacterial and archaeal community structures in the PA assemblage in comparison to the free-living (FL) assemblage in the North Pacific Subtropical Gyre, the South Pacific Subtropical Gyre, and an eastern equatorial region of the Pacific Ocean. Community profiles and phylogenetic identities were obtained by denaturing gradient gel electrophoresis, 454-pyrosequencing, and cloning followed by Sanger sequencing of 16Sr RNA gene amplicons. The distribution patterns of some abundant groups in three regions and two lifestyles (PA and FL) are shown in this study. Also, the PA community structures of bacteria differed from the FL ones and exhibited higher diversity than the FL ones, while the archaeal community structures did not show significant differences between PA and FL assemblages. We found that specific phylotypes of Gammaproteobacteria and Flavobacteria were abundant in PA bacterial assemblages, suggesting that they prefer to attach and consume particulate organic matter. In summary, the surface seawater PA assemblages represent very different bacterial and archaeal community structures between three different oceanic regions, each of which had distinct PA and FL community structures. These results imply that environmental factors determine microbial community structures.	2017	73	10.1007/s10872-016-0410-0	MAYBE	Dave	n
Regan K; Stempfhuber B; Schloter M; Rasche F; Prati D; Philippot L; Boeddinghaus RS; Kandeler E; Marhan S	Spatial and temporal dynamics of nitrogen fixing, nitrifying and denitrifying microbes in an unfertilized grassland soil	SOIL BIOLOGY & BIOCHEMISTRY	The microbial groups of nitrogen fixers, ammonia oxidizers, and denitrifiers largely drive the inorganic nitrogen cycle in temperate terrestrial ecosystems. Their spatial and temporal dynamics, however, vary depending on the studied scale. The present study aimed to fill a knowledge gap by providing an explicit picture of spatial and temporal dynamics of a subset of these soil microorganisms at the plot scale. We selected an unfertilized perennial grassland, where nitrogen cycling is considered to be efficient and tightly coupled to plant growth. At six times over one growing season 60 soil samples were taken from a 10 m x 10 m area and abundances of marker genes for total archaea and bacteria (16S rRNA), nitrogen fixing bacteria (nifH), ammonia oxidizing archaea (amoA AOA) and bacteria (amoA AOB), and denitrifying bacteria (nirS, nirK and nosZ) were determined by qPCR. Potential nitrification activity (PNA) and denitrifying enzyme activity (DEA) were determined. Seasonal changes in abundance patterns of marker genes were detected, and were associated with changes in substrate availability associated with plant growth stages. Potential nitrification and denitrification enzyme activities were strongly spatially structured at the studied scale, corresponding to periods of rapid plant growth, June and October, and their spatial distributions were similar, providing visual evidence of highly localized spatial and temporal conditions at this scale. Temporal variability in the N -cycling communities versus the stability of their respective potential activities provided evidence of both short-lived temporal niche partitioning and a degree of microbial functional redundancy. Our results indicate that in an unfertilized grassland, at the meter scale, abundances of microbial N-cycling organisms can exhibit transient changes, while nitrogen cycling processes remain stable. (C) 2016 Elsevier Ltd. All rights reserved.	2017	109	10.1016/j.soilbio.2016.11.011	MAYBE	Dave	y
Lacap-Bugler DC; Lee KK; Archer S; Gillman LN; Lau MCY; Leuzinger S; Lee CK; Maki T; McKay CP; Perrott JK; de los Rios-Murillo A; Warren-Rhodes KA; Hopkins DW; Pointing SB	Global Diversity of Desert Hypolithic Cyanobacteria	FRONTIERS IN MICROBIOLOGY	Global patterns in diversity were estimated for cyanobacteria-dominated hypolithic communities that colonize ventral surfaces of quartz stones and are common in desert environments. A total of 64 hypolithic communities were recovered from deserts on every continent plus a tropical moisture sufficient location. Community diversity was estimated using a combined t-RFLP fingerprinting and high throughput sequencing approach. The t-RFLP analysis revealed desert communities were different from the single non-desert location. A striking pattern also emerged where Antarctic desert communities were clearly distinct from all other deserts. Some overlap in community similarity occurred for hot, cold and tundra deserts. A further observation was that the producer-consumer ratio displayed a significant negative correlation with growing season, such that shorter growing seasons supported communities with greater abundance of producers, and this pattern was independent of macroclimate. High-throughput sequencing of 16S rRNA and nifH genes from four representative samples validated the t-RFLP study and revealed patterns of taxonomic and putative diazotrophic diversity for desert communities from the Taklimakan Desert, Tibetan Plateau, Canadian Arctic and Antarctic. All communities were dominated by cyanobacteria and among these 21 taxa were potentially endemic to any given desert location. Some others occurred in all but the most extreme hot and polar deserts suggesting they were relatively less well adapted to environmental stress. The t-RFLP and sequencing data revealed the two most abundant cyanobacterial taxa were Phormidium in Antarctic and Tibetan deserts and Chroococcidiopsis in hot and cold deserts. The Arctic tundra displayed a more heterogenous cyanobacterial assemblage and this was attributed to the maritime-influenced sampling location. The most abundant heterotrophic taxa were ubiquitous among samples and belonged to the Acidobacteria, Actinobacteria, Bacteroidetes, and Proteobacteria. Sequencing using nitrogenase gene-specific primers revealed all putative diazotrophs were Proteobacteria of the orders Burkholderiales, Rhizobiales, and Rhodospirillales. We envisage cyanobacterial carbon input to the system is accompanied by nitrogen fixation largely from non-cyanobacterial taxa. Overall the results indicate desert hypoliths worldwide are dominated by cyanobacteria and that growing season is a useful predictor of their abundance. Differences in cyanobacterial taxa encountered may reflect their adaptation to different moisture availability regimes in polar and non-polar deserts.	2017	8	10.3389/fmicb.2017.00867	MAYBE	Dave	y
Kellogg CA; Goldsmith DB; Gray MA	Biogeographic Comparison of Lophelia-Associated Bacterial Communities in the Western Atlantic Reveals Conserved Core Microbiome	FRONTIERS IN MICROBIOLOGY	Over the last decade, publications on deep-sea corals have tripled. Most attention has been paid to Lophelia pertusa, a globally distributed scleractinian coral that creates critical three-dimensional habitat in the deep ocean. The bacterial community associated with L. pertusa has been previously described by a number of studies at sites in the Mediterranean Sea, Norwegian fjords, off Great Britain, and in the Gulf of Mexico (GOM). However, use of different methodologies prevents direct comparisons in most cases. Our objectives were to address intra-regional variation and to identify any conserved bacterial core community. We collected samples from three distinct colonies of L. pertusa at each of four locations within the western Atlantic: three sites within the GOM and one off the east coast of the United States. Amplicon libraries of 16S rRNA genes were generated using primers targeting the V4-V5 hypervariable region and 454 pyrosequencing. The dominant phylum was Proteobacteria (75-96%). At the family level, 80-95% of each sample was comprised of five groups: Pirellulaceae, Pseudonocardiaceae, Rhodobacteraceae, Sphingomonadaceae, and unclassified Oceanospirillales. Principal coordinate analysis based on weighted UniFrac distances showed a clear distinction between the GOM and Atlantic samples. Interestingly, the replicate samples from each location did not always cluster together, indicating there is not a strong site-specific influence. The core bacterial community, conserved in 100% of the samples, was dominated by the operational taxonomic units of genera Novosphingobium and Pseudonocardia, both known degraders of aromatic hydrocarbons. The sequence of another core member, Propionibacterium, was also found in prior studies of L. pertusa from Norway and Great Britain, suggesting a role as a conserved symbiont. By examining more than 40,000 sequences per sample, we found that GOM samples were dominated by the identified conserved core sequences, whereas open Atlantic samples had a much higher proportion of locally consistent bacteria. Further, predictive functional profiling highlights the potential for the L. pertusa microbiome to contribute to chemoautotrophy, nutrient cycling, and antibiotic production.	2017	8	10.3389/fmicb.2017.00796	MAYBE	Dave	y
Becerra-Castro C; Lopes AR; Teixeira S; Silva MEF; Pimenta E; Manaia CM; Nunes OC	Characterization of bacterial communities from Masseiras, a unique Portuguese greenhouse agricultural system	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	Masseiras is an ancient Portuguese agriculture system, where soil was developed from sand dunes enriched with seaweeds over more than a century. Due to the importance for the local economy, this system evolved for greenhouse structures. In this study we compared the bacterial community composition and structure of Masseiras soil, aiming at assessing the potential impact of different agricultural practices. The bulk soil of two greenhouses (following or not the recommended agriculture good practices, FGP and NFGP, respectively) was compared based on their physicochemical properties and bacterial community. In both FGP and NFGP, Proteobacteria, Acidobacteria, Actinobacteria, Bacteroidetes, Firmicutes, and Gemmatimonadetes were in a proportion of 5:1:1:1:1:1. However, the bacterial community of soil FGP was richer and more diverse than that of soil NFGP. Members of the classes Bacilli and Gemm-1, with higher relative abundance in NFGP and FGP, respectively, were those contributing most for distinguishing the bacterial communities of both soils. The differences in the structure of the bacterial communities correlated (Mantel test) with some soil physicochemical properties, such as electrical conductivity and nitrate and Zn contents, which were significantly higher in soil NFGP than in soil FGP.	2017	110	10.1007/s10482-017-0833-7	MAYBE	Dave	n
