authors,title,journal,year,vol,DOI,reviewer,screened,access,use
"Li, RL; Tong, TL; Wu, SJ; Chai, MW; Xie, SG",Multiple factors govern the biogeographic distribution of archaeal community in mangroves across China,ESTUARINE COASTAL AND SHELF SCIENCE,2019,231,10.1016/j.ecss.2019.106414,me,YES,y,n
"Yang, J; Wang, YF; Cui, XY; Xue, K; Zhang, YM; Yu, ZS",Habitat filtering shapes the differential structure of microbial communities in the Xilingol grassland,SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-55940-y,me,YES,y,n
"Loo, WT; Garcia-Loor, J; Dudaniec, RY; Kleindorfer, S; Cavanaugh, CM","Host phylogeny, diet, and habitat differentiate the gut microbiomes of Darwins finches on Santa Cruz Island",SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-54869-6,me,YES,n,n
"Sui, X; Zhang, RT; Frey, B; Yang, LB; Li, MH; Ni, HW","Land use change effects on diversity of soil bacterial, Acidobacterial and fungal communities in wetlands of the Sanjiang Plain, northeastern China",SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-55063-4,me,YES,y,n
"Zheng, Y; Gong, X",Niche differentiation rather than biogeography shapes the diversity and composition of microbiome of Cycas panzhihuaensis,MICROBIOME,2019,7,10.1186/s40168-019-0770-y,me,YES,y,n
"Hu, AY; Wang, HJ; Cao, MX; Rashid, A; Li, MF; Yu, CP",Environmental Filtering Drives the Assembly of Habitat Generalists and Specialists in the Coastal Sand Microbial Communities of Southern China,MICROORGANISMS,2019,7,10.3390/microorganisms7120598,me,YES,,
"Kioroglou, D; Kraeva-Deloire, E; Schmidtke, LM; Mas, A; Portillo, MC",Geographical Origin Has a Greater Impact on Grape Berry Fungal Community than Grape Variety and Maturation State,MICROORGANISMS,2019,7,10.3390/microorganisms7120669,me,YES,,
"Esposito, A; Borruso, L; Rattray, JE; Brusetti, L; Ahmed, E",Taxonomic and functional insights into rock varnish microbiome using shotgun metagenomics,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz180,me,maybe,,
"Wang, CY; Zhou, X; Guo, D; Zhao, JH; Yan, L; Feng, GZ; Gao, Q; Yu, H; Zhao, LP",Soil pH is the primary factor driving the distribution and function of microorganisms in farmland soils in northeastern China,ANNALS OF MICROBIOLOGY,2019,69,10.1007/s13213-019-01529-9,me,YES,,
"Neal, AL; Glendining, MJ",Calcium exerts a strong influence upon phosphohydrolase gene abundance and phylogenetic diversity in soil,SOIL BIOLOGY & BIOCHEMISTRY,2019,139,10.1016/j.soilbio.2019.107613,me,maybe,,
"Aarnio, S; Teittinen, A; Soininen, J",High diatom species turnover in a Baltic Sea rock pool metacommunity,MARINE BIODIVERSITY,2019,49,10.1007/s12526-019-01016-z,me,YES,,
