title,year,journal,method,markerGene,nSamples,seqDepth,simIndex,otuDefinition,taxa,medium,biome,scale,mantelR,pValue,notes
Plant diversity represents the prevalent determinant of soil fungal community structure across temperate grasslands in northern China,2017,Soil Biology and Biochemistry,illumina,,290,4000,bray,0.97,fungi,soil,grassland,4000,0.338,0.001,NA
The differentiation of soil bacterial communities along a precipitation and temperature gradient in the eastern Inner Mongolia steppe,2017,Catena,pyrosequencing,16S,45,2735,u+AF8-unifrac,0.97,bacteria,soil,grassland,451,0.86,0.001,NA
The differentiation of soil bacterial communities along a precipitation and temperature gradient in the eastern Inner Mongolia steppe,2017,Catena,pyrosequencing,16S,45,2735,betaMNTD,0.97,bacteria,soil,grassland,451,0.91,0.001,NA
Bacterial Diversity Patterns Differ in Soils Developing in Sub+AC0-tropical and Cool+AC0-Temperate Ecosystems,2017,Microbial Ecology,pyrosequencing,16S,75,11248,bray,0.97,bacteria,soil,dune,1700,0.13,0.35,NA
+ACI-Similar community assembly mechanisms underlie similar biogeography of rare and abundant bacteria in lakes on Yungui Plateau, China+ACI-,2017,Limnology and Oceanography,pyrosequencing,16S,21,7909,bray,0.97,bacteria,water,lake,600,0.18,0.001,rare
+ACI-Similar community assembly mechanisms underlie similar biogeography of rare and abundant bacteria in lakes on Yungui Plateau, China+ACI-,2017,Limnology and Oceanography,pyrosequencing,16S,21,7909,bray,0.97,bacteria,water,lake,600,0.33,0.001,common
Latitudinal variation in the microbiome of the sponge Ircinia campana correlates with host haplotype but not anti+AC0-predatory chemical defense,2017,Marine Ecology Progress Series,TRFLP,16S,45,NA,bray,band,Bac+AF8-arch,host,sponge,2500,0.63,0.001,HaeIII
Latitudinal variation in the microbiome of the sponge Ircinia campana correlates with host haplotype but not anti+AC0-predatory chemical defense,2017,Marine Ecology Progress Series,TRFLP,16S,45,NA,bray,band,Bac+AF8-arch,host,sponge,2500,0.54,0.001,MspI
Latitudinal variation in the microbiome of the sponge Ircinia campana correlates with host haplotype but not anti+AC0-predatory chemical defense,2017,Marine Ecology Progress Series,illumina,16S,18,9226,bray,97,Bac+AF8-arch,host,sponge,2500,0.68,0.001,NA
Temporal and Spatial Variations of Bacterial and Faunal Communities Associated with Deep+AC0-Sea Wood Falls,2017,PloS One,pyrosequencing,16S,6,19358,bray,97,bacteria,host,ocean,130,0.6,0.01,NA
