"authors","title","journal","abstract","year","vol","DOI","reviewer","screened"
"Hussain, AN; Al-Jubori, WKS; Kadom, HF","Hybrid Design of Optimal Capacitor Placement and Reconfiguration for Performance Improvement in a Radial Distribution System","JOURNAL OF ENGINEERING","Distribution System Reconfiguration (DSR) and Optimal Capacitor Placement (OCP) are the most alternative techniques for increasing the power system generation and covering the growth of power demands. These techniques reduce the Radial Distribution System (RDS) losses and enhance the voltage profile. Combining both techniques gives better performance than using the individual technique. In this paper, two operation modes were implemented. First, the individual mode of OCP is applied. Second, the dual mode of DSR after OCP process is applied. Multiobjective functions with considering the weighting factors are used for minimizing real losses, improving voltage profile, and increasing saving cost. The optimal selections of open switches, location, and size of capacitors in the individual and dual design for RDS are achieved using four different optimization algorithms. These algorithms are Modified Biogeography-Based Optimization (MBBO) algorithm, Cuckoo Search (CS) algorithm, Modified Imperialist Competitive (MIC) algorithm, and Modified Bacterial Foraging-Based Optimization (MBFBO) algorithm. These algorithms are applied for two standard networks (IEEE 33- and IEEE 69-bus). Comparisons among the proposed algorithms are done, and the results demonstrated that the MBBO algorithm is the most strong and fast algorithm to attain the optimum solution. In addition, comparisons with literature works are done to validate the effectiveness of proposed algorithms.","2019","2019","10.1155/2019/1696347","me","NO"
"Li, RL; Tong, TL; Wu, SJ; Chai, MW; Xie, SG","Multiple factors govern the biogeographic distribution of archaeal community in mangroves across China","ESTUARINE COASTAL AND SHELF SCIENCE","Archaea can participate in the biogeochemical processes in mangrove ecosystem. The biogeographic distribution of archaeal community in mangroves remains poorly known. In this study, six mangroves at different geographic locations in China were selected. Mangrove archaeal community was found to considerably change with geographic location, which might be driven by a variety of environmental variables (etc., pH and carbon and nitrogen contents). Archaeal communities were primarily comprised of Thaumarchaeota (54.7-85.2%) and Euryarchaeota (11.8-43.9%). This work could provide some new insights towards the distribution of archaeal community in mangrove ecosystem.","2019","231","10.1016/j.ecss.2019.106414","me","YES"
"Nguyen, CH; Beattie, GAC; Haigh, AM; Astuti, IP; Mabberley, DJ; Weston, PH; Holford, P","Molecular differentiation of the Murraya paniculata Complex (Rutaceae: Aurantioideae: Aurantieae)","BMC EVOLUTIONARY BIOLOGY","Background: Orange jasmine has a complex nomenclatural history and is now known as Murraya paniculata (L.) Jack. Our interest in this common ornamental stemmed from the need to resolve its identity and the identities of closely related taxa as hosts of the pathogen Candidatus Liberibacter asiaticus and its vector Diaphorina citri. Understanding these microbe-vector-plant relationships has been hampered by taxonomic confusion surrounding Murraya at both the generic and specific levels. Results: To resolve the taxonomic uncertainty, six regions of the maternally-inherited chloroplastal genome and part of the nuclear-encoded ITS region were amplified from 85 accessions of Murraya and Merrillia using the polymerase chain reaction (PCR). Clustering used maximum parsimony (MP), maximum likelihood (ML) and Bayesian inference (BI). Chronograms were produced for molecular dating, and to test the monophyly of Murraya rigorously, using selected accessions of Murraya and 26 accessions of the Rutaceae and Simarubaceae. Sequence data from the ITS and chloroplastal regions suggest that Murraya paniculata (sensu (Swingle WT and Reece CR, The Citrus Industry, p. 190-430, 1967)) can be separated into four distinct but morphologically somewhat cryptic taxa: Murraya paniculata (sensu (Mabberley DJ, Taxon 65:366-371, 2016)), M. elongata, M. sumatrana and M. lucida. In addition, Murraya omphalocarpa was identified as a putative hybrid of M. paniculata and M. lucida with two geographically isolated nothovarieties representing reciprocal crosses. Murraya is monophyletic, and molecular dating suggests that it diverged from Merrillia during the Miocene (23-5 Ma) with this Murraya group speciating and dispersing during the Middle Miocene onwards. Conclusions: The accessions from Asia and Australasia used in this study grouped into biogeographical regions that match herbarium specimen records for the taxa that suggest natural allopatric distributions with limited overlap and hybridity. Murraya paniculata has been distributed around the world as an ornamental plant. The division of the Murraya paniculata complex into four species with a rare hybrid also confirms morphological studies.","2019","19","10.1186/s12862-019-1555-4","me","NO"
"Chung, NC; Miasojedow, B; Startek, M; Gambin, A","Jaccard/Tanimoto similarity test and estimation methods for biological presence-absence data","BMC BIOINFORMATICS","Background: A survey of presences and absences of specific species across multiple biogeographic units (or bioregions) are used in a broad area of biological studies from ecology to microbiology. Using binary presence-absence data, we evaluate species co-occurrences that help elucidate relationships among organisms and environments. To summarize similarity between occurrences of species, we routinely use the Jaccard/Tanimoto coefficient, which is the ratio of their intersection to their union. It is natural, then, to identify statistically significant Jaccard/Tanimoto coefficients, which suggest non-random co-occurrences of species. However, statistical hypothesis testing using this similarity coefficient has been seldom used or studied. Results: We introduce a hypothesis test for similarity for biological presence-absence data, using the Jaccard/Tanimoto coefficient. Several key improvements are presented including unbiased estimation of expectation and centered Jaccard/Tanimoto coefficients, that account for occurrence probabilities. The exact and asymptotic solutions are derived. To overcome a computational burden due to high-dimensionality, we propose the bootstrap and measurement concentration algorithms to efficiently estimate statistical significance of binary similarity. Comprehensive simulation studies demonstrate that our proposed methods produce accurate p-values and false discovery rates. The proposed estimation methods are orders of magnitude faster than the exact solution, particularly with an increasing dimensionality. We showcase their applications in evaluating co-occurrences of bird species in 28 islands of Vanuatu and fish species in 3347 freshwater habitats in France. The proposed methods are implemented in an open source R package called jaccard (https://cran.r-project.org/package=jaccard). Conclusion: We introduce a suite of statistical methods for the Jaccard/Tanimoto similarity coefficient for binary data, that enable straightforward incorporation of probabilistic measures in analysis for species co-occurrences. Due to their generality, the proposed methods and implementations are applicable to a wide range of binary data arising from genomics, biochemistry, and other areas of science.","2019","20","10.1186/s12859-019-3118-5","me","NO"
"Yang, J; Wang, YF; Cui, XY; Xue, K; Zhang, YM; Yu, ZS","Habitat filtering shapes the differential structure of microbial communities in the Xilingol grassland","SCIENTIFIC REPORTS","The spatial variability of microorganisms in grasslands can provide important insights regarding the biogeographic patterns of microbial communities. However, information regarding the degree of overlap and partitions of microbial communities across different habitats in grasslands is limited. This study investigated the microbial communities in three distinct habitats from Xilingol steppe grassland, i.e. animal excrement, phyllosphere, and soil samples, by Illumina MiSeq sequencing. All microbial community structures, i.e. for bacteria, archaea, and fungi, were significantly distinguished according to habitat. A high number of unique microorganisms but few coexisting microorganisms were detected, suggesting that the structure of microbial communities was mainly regulated by species selection and niche differentiation. However, the sequences of those limited coexisting microorganisms among the three different habitats accounted for over 60% of the total sequences, indicating their ability to adapt to variable environments. In addition, the biotic interactions among microorganisms based on a co-occurrence network analysis highlighted the importance of Microvirga, Blastococcus, RB41, Nitrospira, and four norank members of bacteria in connecting the different microbiomes. Collectively, the microbial communities in the Xilingol steppe grassland presented strong habitat preferences with a certain degree of dispersal and colonization potential to new habitats along the animal excrement-phyllosphere-soil gradient. This study provides the first detailed comparison of microbial communities in different habitats in a single grassland, and offers new insights into the biogeographic patterns of the microbial assemblages in grasslands.","2019","9","10.1038/s41598-019-55940-y","me","YES"
"Farrer, EC; Porazinska, DL; Spasojevic, MJ; King, AJ; de Mesquita, CPB; Sartwell, SA; Smith, JG; White, CT; Schmidt, SK; Suding, KN","Soil Microbial Networks Shift Across a High-Elevation Successional Gradient","FRONTIERS IN MICROBIOLOGY","While it is well established that microbial composition and diversity shift along environmental gradients, how interactions among microbes change is poorly understood. Here, we tested how community structure and species interactions among diverse groups of soil microbes (bacteria, fungi, non-fungal eukaryotes) change across a fundamental ecological gradient, succession. Our study system is a high-elevation alpine ecosystem that exhibits variability in successional stage due to topography and harsh environmental conditions. We used hierarchical Bayesian joint distribution modeling to remove the influence of environmental covariates on species distributions and generated interaction networks using the residual species-to-species variance-covariance matrix. We hypothesized that as ecological succession proceeds, diversity will increase, species composition will change, and soil microbial networks will become more complex. As expected, we found that diversity of most taxonomic groups increased over succession, and species composition changed considerably. Interestingly, and contrary to our hypothesis, interaction networks became less complex over succession (fewer interactions per taxon). Interactions between photosynthetic microbes and any other organism became less frequent over the gradient, whereas interactions between plants or soil microfauna and any other organism were more abundant in late succession. Results demonstrate that patterns in diversity and composition do not necessarily relate to patterns in network complexity and suggest that network analyses provide new insight into the ecology of highly diverse, microscopic communities.","2019","10","10.3389/fmicb.2019.02887","me","NO"
"Xuan, LX; Sheng, ZL; Lu, JQ; Qiu, QF; Chen, J; Xiong, JB","Bacterioplankton community responses and the potential ecological thresholds along disturbance gradients","SCIENCE OF THE TOTAL ENVIRONMENT","Increasing intensity and frequency of coastal pollutions are the trajectory to be expected due to anthropogenic pressures. However, it is still unclear how and to what extent bacterioplankton communities respond to the two factors, despite the functional importance of bacterioplankton in biogeochemical cycles. In this study, significant organic pollution index (OPI) and offshore distance gradients, as respective proxies of disturbance intensity and disturbance frequency, were detected in a regional scale across the East China Sea. A multiple regression on matrices (MRM) revealed that the biogeography of bacterioplankton community depended on spatial scale, which was governed by local characters. Bacterioplankton community compositions (BCCs) were primarily governed by the conjointly direct (-0.28) and indirect (-0.48) effects of OPI, while offshore distance contributed a large indirectly effect (0.52). A SEGMENTED analysis depicted non-linear responses of BCCs to increasing disturbance intensity and disturbance frequency, as evidenced by significant tipping points. This was also true for the dominant bacterial phyla. Notably, we screened 30 OPI-discriminatory taxa that could quantitatively diagnose coastal OPI levels, with an overall 79.3% accuracy. Collectively, the buffer capacity of bacterioplankton communities to increasing disturbance intensity and disturbance frequency is limited, of which the significant tipping points afford a warning line for coastal management. In addition, coastal pollution level can be accurately diagnosed by a few OPI-discriminatory taxa. (C) 2019 Elsevier B.V. All rights reserved.","2019","696","10.1016/j.scitotenv.2019.134015","me","NO"
"Loo, WT; Garcia-Loor, J; Dudaniec, RY; Kleindorfer, S; Cavanaugh, CM","Host phylogeny, diet, and habitat differentiate the gut microbiomes of Darwins finches on Santa Cruz Island","SCIENTIFIC REPORTS","Darwins finches are an iconic example of an adaptive radiation with well-characterized evolutionary history, dietary preferences, and biogeography, offering an unparalleled opportunity to disentangle effects of evolutionary history on host microbiome from other factors like diet and habitat. Here, we characterize the gut microbiome in Darwins finches, comparing nine species that occupy diverse ecological niches on Santa Cruz island. The finch phylogeny showed moderate congruence with the microbiome, which was comprised mostly of the bacterial phyla Firmicutes, Actinobacteria, and Proteobacteria. Diet, as measured with stable isotope values and foraging observations, also correlated with microbiome differentiation. Additionally, each gut microbial community could easily be classified by the habitat of origin independent of host species. Altogether, these findings are consistent with a model of microbiome assembly in which environmental filtering via diet and habitat are primary determinants of the bacterial taxa present with lesser influence from the evolutionary history between finch species.","2019","9","10.1038/s41598-019-54869-6","me","YES"
"Sui, X; Zhang, RT; Frey, B; Yang, LB; Li, MH; Ni, HW","Land use change effects on diversity of soil bacterial, Acidobacterial and fungal communities in wetlands of the Sanjiang Plain, northeastern China","SCIENTIFIC REPORTS","The bacterial, acidobacterial, and fungal communities in wetlands can undergo perturbations by various human activities, such as disturbances caused by cultivation and during the process of system restoration. In this study, we investigated the relationships between the composition of the soil bacterial, acidobacterial, and fungal communities and the transformation of wetlands by human activities in the Sanjiang Plain. Soil microbial communities were assessed in wetland soils collected from pristine marsh, neighboring cropland (wetland turned into arable land), and land that had been reforested with Larix gmelinii. The alpha-diversities of bacteria, Acidobacteria, and fungi were affected by land-use change and were highest in the arable land and lowest in the wetland soils. The soil microbial community structures were also altered with changing land-use. Canonical correlation analyses showed that beta-diversity was significantly affected by soil pH, available phosphorus, soil nitrogen, and total organic carbon. Overall, our results showed that the agricultural cultivation of wetlands changes the available soil carbon, nitrogen, and phosphorus pools, thereby influencing the bacterial, acidobacterial, and fungal diversity and community structure. Once the soil microbial community has been altered by human activity, it might be difficult to restore it to its original state. These findings highlight the importance of effectively maintaining the diversity of soil bacterial, Acidobacterial, and fungal communities despite land use change in order to sustain a microbial community diversity and ecosystem function.","2019","9","10.1038/s41598-019-55063-4","me","YES"
"Zheng, Y; Gong, X","Niche differentiation rather than biogeography shapes the diversity and composition of microbiome of Cycas panzhihuaensis","MICROBIOME","Background Given their adaptation to nutrient-poor and drought environments, cycads are vital models for plant-microbiome interaction research because they are likely to host an important reservoir of beneficial microbes that may support cycad survival. However, a comprehensive understanding of the diversity and community composition of microbiome associated with different plant compartments as well as bulk soils of cycad species remains elusive. Method An extensive investigation of species diversity and community composition of bacterial and fungal microbiome in roots, seeds, unfertilized seeds, ovules, pollens, and soils of Cycas panzhihuaensis L. Zhou & S. Y. Yang has been conducted by high-through sequencing technology. Moreover, principal component analysis (PCA), hierarchical cluster analysis (HCA), and heatmap analysis were applied to test the niche-specific effect and biogeography factor among different sample types of this cycad species. Results Highly diverse microbiota and significant variation of community structure were found among different compartments of C. panzhihuaensis. Soils exhibited a remarkable differentiation of bacterial community composition compared to the other five plant organs as revealed by PCA, HCA, and heatmap analyses. Different compartments possessed unique core microbial taxa with Pseudomonadaceae and Nectriaceae shared among them. According to the indicator species analysis, there was almost no differentiation of dominant microbiomes with regard to the geography of the host cycad. Two main transmission models existed in the C. panzhihuaensis. Conclusions Each sample type represented a unique niche and hosted a niche-specific core microbial taxa. Contrary to previous surveys, biogeography hardly exerted impact on microbial community variation in this study. The majority of the cycad-associated microbes were horizontally derived from soils and/or air environments with the rest vertically inherited from maternal plants via seeds. This study offers a robust knowledge of plant-microbiome interaction across various plant compartments and soils and lends guidelines to the investigation of adaptation mechanism of cycads in arid and nutrient-poor environments as well as their evolutionary conservation.","2019","7","10.1186/s40168-019-0770-y","me","YES"
