AU	TI	SO	AB	PY	VL	DI
Remold, SK; Purdy-Gibson, ME; France, MT; Hundley, TC	Pseudomonas putida and Pseudomonas fluorescens Species Group Recovery from Human Homes Varies Seasonally and by Environment	PLOS ONE	By shedding light on variation in time as well as in space, long-term biogeographic studies can help us define organisms distribution patterns and understand their underlying drivers. Here we examine distributions of Pseudomonas in and around 15 human homes, focusing on the P. putida and P. fluorescens species groups. We describe recovery from 10,941 samples collected during up to 8 visits per home, occurring on average 2.6 times per year. We collected a mean of 141 samples per visit, from sites in most rooms of the house, from the surrounding yards, and from human and pet occupants. We recovered Pseudomonas in 9.7% of samples, with the majority of isolates being from the P. putida and P. fluorescens species groups (approximately 62% and 23% of Pseudomonas samples recovered respectively). Although representatives of both groups were recovered from every season, every house, and every type of environment sampled, recovery was highly variable across houses and samplings. Whereas recovery of P. putida group was higher in summer and fall than in winter and spring, P. fluorescens group isolates were most often recovered in spring. P. putida group recovery from soils was substantially higher than its recovery from all other environment types, while higher P. fluorescens group recovery from soils than from other sites was much less pronounced. Both species groups were recovered from skin and upper respiratory tract samples from healthy humans and pets, although this occurred infrequently. This study indicates that even species that are able to survive under a broad range of conditions can be rare and variable in their distributions in space and in time. For such groups, determining patterns and causes of stochastic and seasonal variability may be more important for understanding the processes driving their biogeography than the identity of the types of environments in which they can be found.	2015	10	10.1371/journal.pone.0127704
Archer, SDJ; McDonald, IR; Herbold, CW; Lee, CK; Cary, CS	Benthic microbial communities of coastal terrestrial and ice shelf Antarctic meltwater ponds	FRONTIERS IN MICROBIOLOGY	The numerous perennial meltwater ponds distributed throughout Antarctica represent diverse and productive ecosystems central to the ecological functioning of the surrounding ultra oligotrophic environment. The dominant taxa in the pond benthic communities have been well described however, little is known regarding their regional dispersal and local drivers to community structure. The benthic microbial communities of 12 meltwater ponds in the McMurdo Sound of Antarctica were investigated to examine variation between pond microbial communities and their biogeography. Geochemically comparable but geomorphologically distinct ponds were selected from Bratina Island (ice shelf) and Miers Valley (terrestrial) (<40 km between study sites), and community structure within ponds was compared using DNA fingerprinting and pyrosequencing of 16S rRNA gene amplicons. More than 85% of total sequence reads were shared between pooled benthic communities at different locations (OTU0.05), which in combination with favorable prevailing winds suggests aeolian regional distribution. Consistent with previous findings Proteobacteria and Bacteroidetes were the dominant phyla representing over 50% of total sequences; however, a large number of other phyla (21) were also detected in this ecosystem. Although dominant Bacteria were ubiquitous between ponds, site and local selection resulted in heterogeneous community structures and with more than 45% of diversity being pond specific. Potassium was identified as the most significant contributing factor to the cosmopolitan community structure and aluminum to the location unique community based on a BEST analysis (Spearmans correlation coefficient of 0.632 and 0.806, respectively). These results indicate that the microbial communities in meltwater ponds are easily dispersed regionally and that the local geochemical environment drives the ponds community structure.	2015	6	10.3389/fmicb.2015.00485
Gupta, P; Agrawal, HK; Bandopadhyay, R	Distribution pattern of bacteria in the two geographic poles and Southern Ocean from the reported 16S rDNA sequences	CURRENT SCIENCE	16S rDNA bacterial sequences (913) from the Arctic Ocean, Southern Ocean and Antarctic Iceland were studied to understand the bacterial distribution pattern. Through phylogenetic study, it was observed that some bacteria were common in both the Arctic Ocean and Antarctic Iceland. gamma-Proteobacteria occupied 77.7% of the total bacterial population in the Antarctic Iceland, whereas in the Southern Ocean it was 72.5% and in the Arctic Ocean it was 50.9%. GC (Guanine + Cytosine) content of the bacteria in the Arctic Ocean and Antarctic Iceland region was 54.4% and 53.8% respectively. Bacterial diversity was calculated using Shannon-Weiner index and was found to be highest in the Antarctic Iceland (1.6926).	2015	108	
Brum, JR; Ignacio-Espinoza, JC; Roux, S; Doulcier, G; Acinas, SG; Alberti, A; Chaffron, S; Cruaud, C; de Vargas, C; Gasol, JM; Gorsky, G; Gregory, AC; Guidi, L; Hingamp, P; Iudicone, D; Not, F; Ogata, H; Pesant, S; Poulos, BT; Schwenck, SM; Speich, S; Dimier, C; Kandels-Lewis, S; Picheral, M; Searson, S; Bork, P; Bowler, C; Sunagawa, S; Wincker, P; Karsenti, E; Sullivan, MB	Patterns and ecological drivers of ocean viral communities	SCIENCE	Viruses influence ecosystems by modulating microbial population size, diversity, metabolic outputs, and gene flow. Here, we use quantitative double-stranded DNA (dsDNA) viral-fraction metagenomes (viromes) and whole viral community morphological data sets from 43 Tara Oceans expedition samples to assess viral community patterns and structure in the upper ocean. Protein cluster cataloging defined pelagic upper-ocean viral community pan and core gene sets and suggested that this sequence space is well-sampled. Analyses of viral protein clusters, populations, and morphology revealed biogeographic patterns whereby viral communities were passively transported on oceanic currents and locally structured by environmental conditions that affect host community structure. Together, these investigations establish a global ocean dsDNA viromic data set with analyses supporting the seed-bank hypothesis to explain how oceanic viral communities maintain high local diversity.	2015	348	10.1126/science.1261498
Villar, E; Farrant, GK; Follows, M; Garczarek, L; Speich, S; Audic, S; Bittner, L; Blanke, B; Brum, JR; Brunet, C; Casotti, R; Chase, A; Dolan, JR; dOrtenzio, F; Gattuso, JP; Grima, N; Guidi, L; Hill, CN; Jahn, O; Jamet, JL; Le Goff, H; Lepoivre, C; Malviya, S; Pelletier, E; Romagnan, JB; Roux, S; Santini, S; Scalco, E; Schwenck, SM; Tanaka, A; Testor, P; Vannier, T; Vincent, F; Zingone, A; Dimier, C; Picheral, M; Searson, S; Kandels-Lewis, S; Acinas, SG; Bork, P; Boss, E; de Vargas, C; Gorsky, G; Ogata, H; Pesant, S; Sullivan, MB; Sunagawa, S; Wincker, P; Karsenti, E; Bowler, C; Not, F; Hingamp, P; Iudicone, D	Environmental characteristics of Agulhas rings affect interocean plankton transport	SCIENCE	Agulhas rings provide the principal route for ocean waters to circulate from the Indo-Pacific to the Atlantic basin. Their influence on global ocean circulation is well known, but their role in plankton transport is largely unexplored. We show that, although the coarse taxonomic structure of plankton communities is continuous across the Agulhas choke point, South Atlantic plankton diversity is altered compared with Indian Ocean source populations. Modeling and in situ sampling of a young Agulhas ring indicate that strong vertical mixing drives complex nitrogen cycling, shaping community metabolism and biogeochemical signatures as the ring and associated plankton transit westward. The peculiar local environment inside Agulhas rings may provide a selective mechanism contributing to the limited dispersal of Indian Ocean plankton populations into the Atlantic.	2015	348	10.1126/science.1261447
Kohler, TJ; Kopalova, K; Van De Vijver, B; Kociolek, JP	The genus Luticola DGMann (Bacillariophyta) from the McMurdo Sound Region, Antarctica, with the description of four new species	PHYTOTAXA	A revision of the freshwater diatom genus Luticola from the McMurdo Sound Region, including the McMurdo Dry Valleys and Cape Royds, Antarctica, was made to contribute to a consistent flora for the entire Antarctic Region. Detailed light and scanning electron microscopic observations, review of pertinent literature, and examination of historical and type material lead to the identification of 12 Luticola species. Four new species and one new combination are proposed, including L. bradyi sp. nov., L. spainiae, sp. nov., L. macknightiae, sp. nov., L. transantarctica, sp. nov., and L. elegans, comb. nov. stat. nov. Several of these taxa were previously identified as part of the L. muticopsis (Van Heurck) D.G.Mann complex; Navicula muticopsis f. evoluta W. & G.S. West, L. muticopsis f. reducta (W. & G.S. West) Spaulding, and N. muticopsis f. capitata Carlson, or mistaken for the similar L. mutica (Kutzing) D.G. Mann and L. cohnii (Hilse) D.G. Mann. Morphological features of all new species were compared to the closest morphologically similar taxa, and their ecology and biogeography are discussed. All Luticola species considered here show restricted Antarctic distributions, and 8 of the 12 reported species are known only from the Antarctic continent.	2015	208	10.11646/phytotaxa.208.2.1
Chang, FY; Ternei, MA; Calle, PY; Brady, SF	Targeted Metagenomics: Finding Rare Tryptophan Dimer Natural Products in the Environment	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	Natural product discovery from environmental genomes (metagenornics) has largely been limited to the screening, of existing,environmental DNA (eDNA) libraries: Here, we have coupled a chemical-biogeographic survey of chroinopyrrolic acid synthase (CPAS) gene diversity with targeted eDNA. library production to more efficiently access,rare tryptophan dinner (TD) biosynthetic gene clusters. A combination of :traditional and,synthetic biology-bed heterologous expression efforts using,eDNA derived gene clusters led to the production of hydroxysporine (1)and reductasporine (2), two bioactive TDs. As suggested by but phylogeneic analysis of CPAS genes, identified in our survey of dude eDNA. extracts, reductasporine (2) contains an unprecedented TD core structure: a pyrrolinium indolocarbazole core that is likely key to its unusual bioactivity profile. This work demonstrates the potential for the discovery Of structurally rare and biologically interesting,natural products using targeted metagenomics, Where environmental samples are prescreened to identify the most phylogenetically unique gene sequences and molecules associated with these genes are accessed through targeted metagenomic library construction and heterologous expression.	2015	137	10.1021/jacs.5b01968
Johnson, SB; Waren, A; Tunnicliffe, V; Van Dover, C; Wheat, CG; Schultz, TF; Vrijenhoek, RC	Molecular taxonomy and naming of five cryptic species of Alviniconcha snails (Gastropoda: Abyssochrysoidea) from hydrothermal vents	SYSTEMATICS AND BIODIVERSITY	Large symbiont-hosting snails of the genus Alviniconcha (Gastropoda: Abyssochrysidae) are among the dominant inhabitants of hydrothermal vents in the Western Pacific and Indian oceans. The genus was originally described as monotypic, but unique DNA sequences for mitochondrial genes revealed six distinct evolutionary lineages that we could not distinguish based on external morphology. Subsumed under the name Alviniconcha hessleri Okutani & Ohta, the distinct allopatric and sympatric lineages have been assigned placeholder epithets that complicate scientific communications. Based on the present multi-gene sequence data, we hereby describe five Alviniconcha species (in the order of their discovery) - A. kojimai sp. nov., A. boucheti sp. nov., A. marisindica sp. nov., A. strummeri sp. nov. and A. adamantis sp. nov. Thus, we restrict application of the name A. hessleri to specimens that are genetically similar (>= 95% for COI) to those found at localities in the Mariana Trough. Single distinct Alviniconcha species inhabit vent fields along the Central Indian Ridge, the Mariana volcanic arc, and the Mariana back-arc basin, whereas vents in the Manus, Fiji and Lau back-arc basins may host two or three additional species. Formal recognition of these species facilitates future attempts to assess their physiological differences and symbiont associations. Furthermore, their reported distributions have significant biogeographic implications, affecting estimates of the diversity within and overlap among Indo-Pacific vent localities. [GRAPHICS]	2015	13	10.1080/14772000.2014.970673
Ben Hania, W; Fadhlaoui, K; Brochier-Armanet, C; Persillon, C; Postec, A; Hamdi, M; Dolla, A; Ollivier, B; Fardeau, ML; Le Mer, J; Erauso, G	Draft genome sequence of Mesotoga strain PhosAC3, a mesophilic member of the bacterial order Thermotogales, isolated from a digestor treating phosphogypsum in Tunisia	STANDARDS IN GENOMIC SCIENCES	Mesotoga strain PhosAc3 was the first mesophilic cultivated member of the order Thermotogales. This genus currently contain two described species, M. prima and M. infera. Strain PhosAc3, isolated from a Tunisian digestor treating phosphogypsum, is phylogenetically closely related to M. prima strain MesG1.Ag.4.2(T). Strain PhosAc3 has a genome of 3.1 Mb with a G + C content of 45.2%. It contains 3,051 protein-coding genes of which 74.6% have their best reciprocal BLAST hit in the genome of the type species, strain MesG1.Ag.4.2(T). For this reason we propose to assign strain PhosAc3 as a novel ecotype of the Mesotoga prima species. However, in contrast with the M. prima type strain, (i) it does not ferment sugars but uses them only in the presence of elemental sulfur as terminal electron acceptor, (ii) it produces only acetate and CO2 from sugars, whereas strain MesG1.Ag.4.2(T) produces acetate, butyrate, isobutyrate, isovalerate, 2-methyl-butyrate and (iii) sulfides are also end products of the elemental sulfur reduction in theses growth conditions.	2015	10	10.1186/1944-3277-10-12
Natalicchio, M; Peckmann, J; Birgel, D; Kiel, S	Seep deposits from northern Istria, Croatia: a first glimpse into the Eocene seep fauna of the Tethys region	GEOLOGICAL MAGAZINE	Three isolated limestone deposits and their fauna are described from a middle Eocene Flysch succession in northwestern Istria, Croatia. The limestones are identified as ancient methane-seep deposits based on fabrics and characteristic mineral phases, delta C-13(carbonate) values as low as -42.2% and C-13-depleted lipid biomarkers indicative of methane-oxidizing archaea. The faint bedding of the largest seep deposit, the great dominance of authigenic micrite over early diagenetic fibrous cement, as well as biomarker patterns indicate that seepage was diffusive rather than advective. Apart from methanotrophic archaea, aerobic methanotrophic bacteria were present at the Eocene seeps as revealed by C-13-depleted lanostanes and hopanoids. The observed corrosion surfaces in the limestones probably reflect carbonate dissolution caused by aerobic methanotrophy. The macrofauna consists mainly of chemosymbiotic bivalves such as solemyids (Acharax), thyasirids (Thyasira) and lucinids (Amanocina). The middle Eocene marks the rise of the modern seep fauna, but so far the fossil record of seeps of this age is restricted to the North Pacific region. The taxa found at Buje originated during the Cretaceous Period, whereas taxa typical of the modern seep fauna such as bathymodiolin mussels and vesicomyid clams are absent. Although this is only a first palaeontological glimpse into the biogeography during the rise of the modern seep fauna, it agrees with biogeographic investigations based on the modern vent fauna indicating that the dominant taxa of the modern seep fauna first appeared in the Pacific Ocean.	2015	152	10.1017/S0016756814000466
