AU,TI,SO,AB,PY,VL,DI
"Feng, YZ; Chen, RR; Stegen, JC; Guo, ZY; Zhang, JW; Li, ZP; Lin, XG",Two key features influencing community assembly processes at regional scale: Initial state and degree of change in environmental conditions,MOLECULAR ECOLOGY,"Belowground microbial communities strongly influence ecosystem function such that predicting function may rely on understanding ecological processes that assemble communities. Uncertainty remains, however, in what governs the relative contributions of different ecological processes. To help fill this knowledge gap, we test the general hypothesis that both initial state and degree of change in environmental conditions govern the relative contributions of different ecological assembly processes. To do so, we leveraged regional-scale nutrient and organic matter addition experiments and used soil organic matter (SOM) as a proxy of integrated soil environmental conditions. Consistent with our hypothesis, we found that both the initial amount of SOM and the degree of change in SOM-in response to nutrient addition-influenced the relative contributions of different ecological assembly processes. These influences were most clearly observed at the regional scale, suggesting potential scale dependence. More specifically, nutrient additions homogenized bacterial community composition due to enhanced influences of homogenizing dispersal when SOM content was initially high. In contrast, nutrient additions led to divergence in community composition due to variable selection when initial SOM was low and/or when SOM increased significantly in response to nutrient additions. Our findings indicate important connections among initial conditions, degree of change in environmental variables and microbial community assembly processes that may influence ecosystem processes. These conceptual inferences highlight a need to strengthen connections between ecological theory and biogeochemical modelling.",2018,27,10.1111/mec.14914
"Shibl, AA; Ngugi, DK; Talarmin, A; Thompson, LR; Blom, J; Stingl, U",The genome of a novel isolate of Prochlorococcus from the Red Sea contains transcribed genes for compatible solute biosynthesis,FEMS MICROBIOLOGY ECOLOGY,"Marine microbes possess genomic and physiological adaptations to cope with varying environmental conditions. So far, the effects of high salinity on the most abundant marine photoautotrophic organism, Prochlorococcus, in marine oligotrophic environments, are mostly unknown. Here, we report the isolation of a new Prochlorococcus strain (RSP50) belonging to high-light (HL) clade II from the Red Sea, one of the warmest and most saline bodies of water in the global oceans. A comparative genomic analysis identified a set of 59 genes that were exclusive to RSP50 relative to currently available Prochlorococcus genomes, the majority of which (70%) encode for hypothetical proteins of unknown function. However, three of the unique genes encode for a complete pathway for the biosynthesis of the compatible solute glucosylglycerol, and are homologous to enzymes found in the sister lineage Synechococcus. Metatranscriptomic analyses of this metabolic pathway in the water column of the Red Sea revealed that the corresponding genes were constitutively transcribed, independent of depth and light, suggesting that osmoregulation using glucosylglycerol is a general feature of HL II Prochlorococcus in the Red Sea.",2018,94,10.1093/femsec/fiy182
"Pulschen, AA; de Araujo, GG; Carvalho, ACSR; Cerini, MF; Fonseca, LD; Galante, D; Rodrigues, F",Survival of Extremophilic Yeasts in the Stratospheric Environment during Balloon Flights and in Laboratory Simulations,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,"The high-altitude atmosphere is a harsh environment with extremely low temperatures, low pressure, and high UV irradiation. For this reason, it has been proposed as an analogue for Mars, presenting deleterious factors similar to those on the surface of that planet. We evaluated the survival of extremophilic UV-resistant yeasts isolated from a high-elevation area in the Atacama Desert under stratospheric conditions. As biological controls, intrinsically resistant Bacillus subtilis spores were used. Experiments were performed in two independent stratospheric balloon flights and with an environmental simulation chamber. The three following different conditions were evaluated: (i) desiccation, (ii) desiccation plus exposure to stratospheric low pressure and temperature, and (3) desiccation plus exposure to the full stratospheric environment (UV, low pressure, and temperature). Two strains, Naganishia (Cryptococcus) friedmannii 16LV2 and Exophiala sp. strain 15LV1, survived full exposures to the stratosphere in larger numbers than did B. subtilis spores. Holtermanniella watticus (also known as Holtermanniella wattica) 16LV1, however, suffered a substantial loss in viability upon desiccation and did not survive the stratospheric UV exposure. The remarkable resilience of N. friedmannii and Exophiala sp. 15LV1 under the extreme Mars-like conditions of the stratosphere confirms its potential as a eukaryotic model for astrobiology. Additionally, our results with N. friedmannii strengthen the recent hypothesis that yeasts belonging to the Naganishia genus are fit for aerial dispersion, which might account for the observed abundance of this species in high-elevation soils. IMPORTANCE Studies of eukaryotic microorganisms under conditions of astrobiological relevance, as well as the aerial dispersion potential of extremophilic yeasts, are still lacking in the literature compared to works with bacteria. Using stratospheric balloon flights and a simulation chamber, we demonstrate that yeasts isolated from an extreme environment are capable of surviving all stressors found in the stratosphere, including intense UV irradiation, scoring an even higher survival than B. subtilis spores. Notably, the yeast N. friedmannii, which displayed one of the highest tolerances to the stratospheric environment in the experiments, was recently proposed to be adapted to airborne transportation, although such a hypothesis had not yet been tested. Our results strengthen such an assumption and can help explain the observed distribution and ecology of this particular yeast species.",2018,84,10.1128/AEM.01942-18
"Schwob, G; Roy, M; Pozzi, AC; Herrera-Belaroussi, A; Fernandez, MP",In Planta Sporulation of Frankia spp. as a Determinant of Alder-Symbiont Interactions,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,"The Alnus genus forms symbiosis with the actinobacteria Frankia spp. and ectomycorrhizal fungi. Two types of Frankia lineages can be distinguished based on their ability to sporulate in planta. Spore-positive (Sp) strains are predominant on Alnus incana and Alnus viridis in highlands, while spore-negative (Sp-) strains are mainly associated with Alnus glutinosa in lowlands. Here, we investigated whether the Sp predominance in nodules is due to host selection of certain Frankia geno types from soil communities or the result of the ecological history of the alder stand soil, as well as the effect of the sporulation genotype on the ectomycorrhizal (ECM) communities. Trapping experiments were conducted using A. glutinosa, A. incana, and A. viridis plantlets on 6 soils, differing in the alder species and the frequency of Sp nodules in the field. Higher diversity of Frankia spp. and variation in Sp frequencies were observed in the trapping than in the fields. Both indigenous and trapping species shape Frankia community structure in trapped nodules. Nodulation impediments were observed under several trapping conditions in Sp soils, supporting a narrower host range of Sp Frankia species. A. incana and A. viridis were able to associate equally with compatible Sp and Sp- strains in the greenhouse. Additionally, no host shift was observed for Alnus-specific ECM, and the sporulation genotype of Frankia spp. defined the ECM communities on the host roots. The symbiotic association is likely determined by the host range, the soil history, and the type of in planta Frankia species. These results provide an insight into the biogeographical drivers of alder symbionts in the Holarctic region. IMPORTANCE Most Frankia-actinorhiza plant symbioses are capable of high rates of nitrogen fixation comparable to those found on legumes. Yet, our understanding of the ecology and distribution of Frankia spp. is still very limited. Several studies have focused on the distribution patterns of Frankia spp., demonstrating a combination of host and pedoclimatic parameters in their biogeography. However, very few have considered the in planta sporulation form of the strain, although it is a unique feature among all symbiotic plant-associated microbes. Compared with Sp- Frankia strains, Sp strains would be obligate symbionts that are highly dependent on the presence of a compatible host species and with lower efficiency in nitrogen fixation. Understanding the biogeographical drivers of Sp Frankia strains might help elucidate the ecological role of in planta sporulation and the extent to which this trait mediates host-partner interactions in the alder-Frankia-ECM fungal symbiosis.",2018,84,10.1128/AEM.01737-18
"McGenity, TJ",2038-When microbes rule the Earth,ENVIRONMENTAL MICROBIOLOGY,,2018,20,10.1111/1462-2920.14449
"Borton, MA; Daly, RA; OBanion, B; Hoyt, DW; Marcus, DN; Welch, S; Hastings, SS; Meulia, T; Wolfe, RA; Booker, AE; Sharma, S; Cole, DR; Wunch, K; Moore, JD; Darrah, TH; Wilkins, MJ; Wrighton, KC","Comparative genomics and physiology of the genus Methanohalophilus, a prevalent methanogen in hydraulically fractured shale",ENVIRONMENTAL MICROBIOLOGY,"About 60% of natural gas production in the United States comes from hydraulic fracturing of unconventional reservoirs, such as shales or organic-rich micrites. This process inoculates and enriches for halotolerant microorganisms in these reservoirs over time, resulting in a saline ecosystem that includes methane producing archaea. Here, we survey the biogeography of methanogens across unconventional reservoirs, and report that members of genus Methanohalophilus are recovered from every hydraulically fractured unconventional reservoir sampled by metagenomics. We provide the first genomic sequencing of three isolate genomes, as well as two metagenome assembled genomes (MAGs). Utilizing six other previously sequenced isolate genomes and MAGs, we perform comparative analysis of the 11 genomes representing this genus. This genomic investigation revealed distinctions between surface and subsurface derived genomes that are consistent with constraints encountered in each environment. Genotypic differences were also uncovered between isolate genomes recovered from the same well, suggesting niche partitioning among closely related strains. These genomic substrate utilization predictions were then confirmed by physiological investigation. Fine-scale microdiversity was observed in CRISPR-Cas systems of Methanohalophilus, with genomes from geographically distinct unconventional reservoirs sharing spacers targeting the same viral population. These findings have implications for augmentation strategies resulting in enhanced biogenic methane production in hydraulically fractured unconventional reservoirs.",2018,20,10.1111/1462-2920.14467
"Malard, LA; Pearce, DA",Microbial diversity and biogeography in Arctic soils,ENVIRONMENTAL MICROBIOLOGY REPORTS,"Microorganisms dominate terrestrial environments in the polar regions and Arctic soils are known to harbour significant microbial diversity, far more diverse and numerous in the region than was once thought. Furthermore, the geographic distribution and structure of Arctic microbial communities remains elusive, despite their important roles in both biogeochemical cycling and in the generation and decomposition of climate active gases. Critically, Arctic soils are estimated to store over 1500 Pg of carbon and, thus, have the potential to generate positive feedback within the climate system. As the Arctic region is currently undergoing rapid change, the likelihood of faster release of greenhouse gases such as CO2, CH4 and N2O is increasing. Understanding the microbial communities in the region, in terms of their diversity, abundance and functional activity, is key to producing accurate models of greenhouse gas release. This review brings together existing data to determine what we know about microbial diversity and biogeography in Arctic soils.",2018,10,10.1111/1758-2229.12680
"Mougin, C; Artige, E; Marchand, F; Mondy, S; Ratie, C; Sellier, N; Castagnone-Sereno, P; DAcier, AC; Esmenjaud, D; Faivre-Primot, C; Granjon, L; Hamelet, V; Lange, F; Pages, S; Rimet, F; Ris, N; Salle, G","BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"The Biological Resource Centre for the Environment BRC4Env is a network of Biological Resource Centres (BRCs) and collections whose leading objectives are to improve the visibility of genetic and biological resources maintained by its BRCs and collections and to facilitate their use by a large research community, from agriculture research to life sciences and environmental sciences. Its added value relies on sharing skills, harmonizing practices, triggering projects in comparative biology, and ultimately proposing a single-entry portal to facilitate access to documented samples, taking into account the partnership policies of research institutions as well as the legal frame which varies with the biological nature of resources. BRC4Env currently includes three BRCs: the Centre for Soil Genetic Resources of the platform GenoSol, in partnership with the European Conservatory of Soil Samples; the Egg Parasitoids Collection (EP-Coll); and the collection of ichthyological samples, Colisa. BRC4Env is also associated to several biological collections: microbial consortia (entomopathogenic bacteria, freshwater microalgae...), terrestrial arthropods, nematodes (plant parasitic, entomopathogenic, animal parasitic...), and small mammals. The BRCs and collections of BRC4Env are involved in partnership with academic scientists, as well as private companies, in the fields of medicinal mining, biocontrol, sustainable agriculture, and additional sectors. Moreover, the staff of the BRCs is involved in many training courses for students from French licence degree to Ph.D, engineers, as well as ongoing training.",2018,25,10.1007/s11356-018-1973-7
"Chung, YS; Jansky, S",Considerations for selecting disease resistant wild germplasm (Solanum spp.): lessons from a case study of resistance to bacterial soft rot and Colorado potato beetle,GENETIC RESOURCES AND CROP EVOLUTION,"Predictions of distributions of resistance phenotypes have been attempted for major diseases in wild potato germplasm. Interestingly, no consistent taxonomic or biogeographic predictors have been identified. However, an important lesson learned was that there are interactions among host plants, environmental factors, and characters of the pathogens. A logical extension of the predictivity project is to examine the dynamics of resistances when multiple biotic stresses are involved. In this study, we found that populations susceptible to a foliar feeding pest [Colorado potato beetle, Leptinotarsa decemlineata (Say)] are resistant to a bacterial pathogen [Pectobacterium carotovorum subsp. carotovorum (Jones, 1901; Hauben et al. 1999)]. We propose that wounds caused by the insect pest allow the bacterial pathogen to gain entry and cause disease. This would lead to strong selection pressure for resistance to the bacterial pathogen. Consequently, when searching for traits of interest in germplasm collections, it is important to consider the complex biotic and abiotic environments in which the source populations evolved.",2018,65,10.1007/s10722-018-0682-x
"Lu, XM; He, MY; Ding, JQ; Siemann, E",Latitudinal variation in soil biota: testing the biotic interaction hypothesis with an invasive plant and a native congener,ISME JOURNAL,"Soil biota community structure can change with latitude, but the effects of changes on native plants, invasive plants, and their herbivores remain unclear. Here, we examined latitudinal variation in the soil biota community associated with the invasive plant Alternanthera philoxeroides and its native congener A. sessilis, and the effects of soil biota community variation on these plants and the beetle Agasicles hygrophila. We characterized the soil bacterial and fungal communities and root-knot nematodes of plant rhizospheres collected from 22 degrees N to 36.6 degrees N in China. Soil biota community structure changed with latitude as a function of climate and soil properties. Root-knot nematode abundance and potential soil fungal pathogen diversity (classified with FUNGuild) decreased with latitude, apparently due to higher soil pH and lower temperatures. A greenhouse experiment and lab bioassay showed native plant mass, seed production, and mass of beetles fed native foliage increased with soil collection latitude. However, there were no latitudinal patterns for the invasive plant. These results suggest that invasive and native plants and, consequently, their herbivores have different responses to latitudinal changes in soil-borne enemies, potentially creating spatial variation in enemy release or biotic resistance. This highlights the importance of linking above- and below-ground multitrophic interactions to explore the role of soil biota in non-native plant invasions with a biogeographic approach.",2018,12,10.1038/s41396-018-0219-5
