AU	TI	SO	AB	PY	VL	DI
Geisen, S; Mitchell, EAD; Wilkinson, DM; Adl, S; Bonkowski, M; Brown, MW; Fiore-Donno, AM; Heger, TJ; Jassey, VEJ; Krashevska, V; Lahr, DJG; Marcisz, K; Mulot, M; Payne, R; Singer, D; Anderson, OR; Charman, DJ; Ekelund, F; Griffiths, BS; Ronn, R; Smirnov, A; Bass, D; Belbahri, L; Berney, C; Blandenier, Q; Chatzinotas, A; Clarholm, M; Dunthorn, M; Feest, A; Fernandez, LD; Foissner, W; Fournier, B; Gentekaki, E; Hajek, M; Helder, J; Jousset, A; Koller, R; Kumar, S; La Terza, A; Lamentowicz, M; Mazei, Y; Santos, SS; Seppey, CVW; Spiegel, FW; Walochnik, J; Winding, A; Lara, E	Soil protistology protistology rebooted: 30 fundamental questions to start with	SOIL BIOLOGY & BIOCHEMISTRY	Protists are the most diverse eukaryotes. These microbes are keystone organisms of soil ecosystems and regulate essential processes of soil fertility such as nutrient cycling and plant growth. Despite this, protists have received little scientific attention, especially compared to bacteria, fungi and nematodes in soil studies. Recent methodological advances, particularly in molecular biology techniques, have made the study of soil protists more accessible, and have created a resurgence of interest in soil protistology. This ongoing revolution now enables comprehensive investigations of the structure and functioning of soil protist communities, paving the way to a new era in soil biology. Instead of providing an exhaustive review, we provide a synthesis of research gaps that should be prioritized in future studies of soil protistology to guide this rapidly developing research area. Based on a synthesis of expert opinion we propose 30 key questions covering a broad range of topics including evolution, phylogenetics, functional ecology, macroecology, paleoecology, and methodologies. These questions highlight a diversity of topics that will establish soil protistology as a hub discipline connecting different fundamental and applied fields such as ecology, biogeography, evolution, plant-microbe interactions, agronomy, and conservation biology. We are convinced that soil protistology has the potential to be one of the most exciting frontiers in biology. (C) 2017 Elsevier Ltd. All rights reserved.	2017	111	10.1016/j.soilbio.2017.04.001
Tucker, CM; Cadotte, MW; Carvalho, SB; Davies, TJ; Ferrier, S; Fritz, SA; Grenyer, R; Helmus, MR; Jin, LS; Mooers, AO; Pavoine, S; Purschke, O; Redding, DW; Rosauer, DF; Winter, M; Mazel, F	A guide to phylogenetic metrics for conservation, community ecology and macroecology	BIOLOGICAL REVIEWS	The use of phylogenies in ecology is increasingly common and has broadened our understanding of biological diversity. Ecological sub-disciplines, particularly conservation, community ecology and macroecology, all recognize the value of evolutionary relationships but the resulting development of phylogenetic approaches has led to a proliferation of phylogenetic diversity metrics. The use of many metrics across the sub-disciplines hampers potential meta-analyses, syntheses, and generalizations of existing results. Further, there is no guide for selecting the appropriatemetric for a given question, and different metrics are frequently used to address similar questions. To improve the choice, application, and interpretation of phylo-diversity metrics, we organize existing metrics by expanding on a unifying framework for phylogenetic information. Generally, questions about phylogenetic relationships within or between assemblages tend to ask three types of question: how much; how different; or how regular? We show that these questions reflect three dimensions of a phylogenetic tree: richness, divergence, and regularity. We classify 70 existing phylo-diversity metrics based on their mathematical form within these three dimensions and identify anchor representatives: for alpha-diversity metrics these are PD (Faiths phylogenetic diversity), MPD (mean pairwise distance), and VPD (variation of pairwise distances). By analysing mathematical formulae and using simulations, we use this framework to identify metrics that mix dimensions, and we provide a guide to choosing and using the most appropriate metrics. We show that metric choice requires connecting the research question with the correct dimension of the framework and that there are logical approaches to selecting and interpreting metrics. The guide outlined herein will help researchers navigate the current jungle of indices.	2017	92	10.1111/brv.12252
Vanhove, M; Beale, MA; Rhodes, J; Chanda, D; Lakhi, S; Kwenda, G; Molloy, S; Karunaharan, N; Stone, N; Harrison, TS; Bicanic, T; Fisher, MC	Genomic epidemiology of Cryptococcus yeasts identifies adaptation to environmental niches underpinning infection across an African HIV/AIDS cohort	MOLECULAR ECOLOGY	Emerging infections caused by fungi have become a widely recognized global phenomenon and are causing an increasing burden of disease. Genomic techniques are providing new insights into the structure of fungal populations, revealing hitherto undescribed fine-scale adaptations to environments and hosts that govern their emergence as infections. Cryptococcal meningitis is a neglected tropical disease that is responsible for a large proportion of AIDS-related deaths across Africa; however, the ecological determinants that underlie a patients risk of infection remain largely unexplored. Here, we use genome sequencing and ecological genomics to decipher the evolutionary ecology of the aetiological agents of cryptococcal meningitis, Cryptococcus neoformans and Cryptococcus gattii, across the central African country of Zambia. We show that the occurrence of these two pathogens is differentially associated with biotic (macroecological) and abiotic (physical) factors across two key African ecoregions, Central Miombo woodlands and Zambezi Mopane woodlands. We show that speciation of Cryptococcus has resulted in adaptation to occupy different ecological niches, with C.neoformans found to occupy Zambezi Mopane woodlands and C.gattii primarily recovered from Central Miombo woodlands. Genome sequencing shows that C.neoformans causes 95% of human infections in this region, of which over three-quarters belonged to the globalized lineage VNI. We show that VNI infections are largely associated with urbanized populations in Zambia. Conversely, the majority of C.neoformans isolates recovered in the environment belong to the genetically diverse African-endemic lineage VNB, and we show hitherto unmapped levels of genomic diversity within this lineage. Our results reveal the complex evolutionary ecology that underpins the reservoirs of infection for this, and likely other, deadly pathogenic fungi.	2017	26	10.1111/mec.13891
Lennon, JT; Locey, KJ	Macroecology for microbiology	ENVIRONMENTAL MICROBIOLOGY REPORTS		2017	9	10.1111/1758-2229.12512
Haggerty, JM; Dinsdale, EA	Distinct biogeographical patterns of marine bacterial taxonomy and functional genes	GLOBAL ECOLOGY AND BIOGEOGRAPHY	AimWhile paradigms of macroecology are challenged by the high rates of reproduction, dispersal and horizontal gene exchange of bacterial communities, environmental DNA sequencing makes community profiles accessible. We test fundamental hypotheses of macroecological theories, showing that both taxonomic and functional classifications have distinct biogeographical variation across distance and environments depending on trophic composition. LocationStudies spanning the global oceans. MethodsTaxonomic and functional profiles were obtained from metagenomes and were compared across oceanographic regions and tested for patterns of co-occurrence. The influences of sampling method (filter size), environmental variables and geographical distribution were compared with distance-based linear models to test predictors of taxonomic and functional composition. Macroecological drivers were compared with bacterial community structure to test four biogeographical hypotheses: (1) no biogeographical patterns, (2) community structure reflects environmental dissimilarity, (3) community structure reflects distance, (4) community structure reflects environment and distance. ResultsBacterial families were clustered into four trophic groups - phototrophic, oligotrophic, eutrophic and copiotrophic - by changes in abundance across oceanographic regions and co-occurrence with core functions. Changes in community composition were best modelled by longitude for free-living communities and dissolved oxygen for mixed communities of free-living and particle-associated bacteria. Both microhabitat and community assignment had an impact on biogeographical patterns, with taxonomic compositions following our hypotheses 2 and 4 and functional gene compositions following hypotheses 3 and 4. Main conclusionsWe described four trophic groups adding to the current dichotomy of the classification of marine bacteria as oligotrophic or copiotrophic. Taxonomic composition of mixed communities reflected environmental differences but not geographical distance, whereas functional gene composition in free-living communities was independent of environmental dissimilarity and reflected geographical distance. Patterns of biogeography in bacterial communities differed depending on the description of taxa or function. Therefore, we developed a new paradigm for bacterial ecology which shows that some aspects of bacterial evolution depend on trophic complexity, history and current environmental conditions.	2017	26	10.1111/geb.12528
Stegen, JC; Hurlbert, AH; Bond-Lamberty, B; Chen, XY; Anderson, CG; Chu, RK; Dini-Andreote, F; Fansler, SJ; Hess, NJ; Tfaily, M	Aligning the Measurement of Microbial Diversity with Macroecological Theory	FRONTIERS IN MICROBIOLOGY	The number of microbial operational taxonomic units (OTUs) within a community is akin to species richness within plant/animal (macrobial) systems. A large literature documents OTU richness patterns, drawing comparisons to macrobial theory. There is, however, an unrecognized fundamental disconnect between OTU richness and macrobial theory: OTU richness is commonly estimated on a per-individual basis, while macrobial richness is estimated per-area. Furthermore, the range or extent of sampled environmental conditions can strongly influence a studys outcomes and conclusions, but this is not commonly addressed when studying OTU richness. Here we (i) propose a new sampling approach that estimates OTU richness per-mass of soil, which results in strong support for species energy theory, (ii) use data reduction to show how support for niche conservatism emerges when sampling across a restricted range of environmental conditions, and (iii) show how additional insights into drivers of OTU richness can be generated by combining different sampling methods while simultaneously considering patterns that emerge by restricting the range of environmental conditions. We propose that a more rigorous connection between microbial ecology and macrobial theory can be facilitated by exploring how changes in OTU richness units and environmental extent influence outcomes of data analysis. While fundamental differences between microbial and macrobial systems persist (e.g., species concepts), we suggest that closer attention to units and scale provide tangible and immediate improvements to our understanding of the processes governing OTU richness and how those processes relate to drivers of macrobial species richness.	2016	7	10.3389/fmicb.2016.01487
Teittinen, A; Kallajoki, L; Meier, S; Stigzelius, T; Soininen, J	The roles of elevation and local environmental factors as drivers of diatom diversity in subarctic streams	FRESHWATER BIOLOGY	High latitude and altitude freshwater systems are highly sensitive to the effects of global warming and associated environmental changes. Diatoms are widely used as sentinels of environmental change, yet knowledge of diatom community patterns in high latitude and altitude streams remains limited. The aim of this study was to examine alpha and beta diversity of diatoms in subarctic streams in Finland and Norway, and to determine the importance of local environmental factors and elevation in shaping their community patterns. We also aimed at testing, for the first time, whether microbes conform to Rapoports elevational rule, which states that species occurring at higher elevations have generally larger elevational ranges than species at lower elevations. Three streams (44 sites in total) with an altitudinal gradient of 21-877m a.s.l. were sampled. Generalized linear models, hierarchical partitioning, and a boosted regression tree method were used to identify drivers of diatom species richness. We ran Mantel tests, and calculated initial similarities and elevational halving distances to examine beta diversity. There were no apparent richness-elevation relationships within streams. Across all study streams, the water depth was the most important factor for richness, with additional influences by stone size, conductivity, pH and elevation. Diatoms in subarctic streams did not conform to Rapoports elevational rule. Community similarity decreased significantly with elevational distance while distance decay was weaker with environmental distance. Our results suggest that diatom alpha and beta diversity along stream elevational gradients are shaped by interacting local environmental factors such as water depth and substrate size, indicating vulnerability of diatoms to physical disturbances, and regional factors such as dispersal and geographical variables. Diatom diversity patterns do not seem to concur with patterns often observed for larger organisms as no consistent elevational patterns in richness or range sizes were found.	2016	61	10.1111/fwb.12791
Tripp, EA; Lendemer, JC; Barberan, A; Dunn, RR; Fierer, N	Biodiversity gradients in obligate symbiotic organisms: exploring the diversity and traits of lichen propagules across the United States	JOURNAL OF BIOGEOGRAPHY	AimLarge-scale distributions of plants and animals have been studied extensively and form the foundation for core concepts and paradigms in biogeography and macroecology. Much less attention has been given to other groups of organisms, particularly obligate symbiotic organisms. We present the first quantitative assessment of how spatial and environmental variables shape the abundance and distribution of obligate symbiotic organisms across nearly an entire subcontinent, using lichen propagules as an example. LocationThe contiguous United States (excluding Alaska and Hawaii). MethodsWe use DNA sequence-based analyses of lichen reproductive propagules from settled dust samples collected from nearly 1300 home exteriors to reconstruct biogeographical correlates of lichen taxonomic and functional diversity. ResultsContrary to expectations, we found a weak but significant reverse latitudinal gradient in lichen propagule diversity. Diversity was not impacted by urbanization or human population density. We show that propagules of asexually reproducing species have wider geographical ranges than propagules from sexually reproducing species, likely reflecting the lichenized nature of asexual spores that disperse both the mycobiont and photobiont versus non-lichenized sexual spores, which disperse only the mycobiont. Main ConclusionsOur findings of a reverse latitudinal gradient and a relative lack of impact of urbanization on lichen propagules and/or lichen-forming fungal spores suggest that core concepts in biogeography are better informed via consideration of additional patterns from other, less well studied groups of organisms.	2016	43	10.1111/jbi.12746
Dudaniec, RY; Tesson, SVM	Applying landscape genetics to the microbial world	MOLECULAR ECOLOGY	Landscape genetics, which explicitly quantifies landscape effects on gene flow and adaptation, has largely focused on macroorganisms, with little attention given to microorganisms. This is despite overwhelming evidence that microorganisms exhibit spatial genetic structuring in relation to environmental variables. The increasing accessibility of genomic data has opened up the opportunity for landscape genetics to embrace the world of microorganisms, which may be thought of as the invisible regulators of the macroecological world. Recent developments in bioinformatics and increased data accessibility have accelerated our ability to identify microbial taxa and characterize their genetic diversity. However, the influence of the landscape matrix and dynamic environmental factors on microorganism genetic dispersal and adaptation has been little explored. Also, because many microorganisms coinhabit or codisperse with macroorganisms, landscape genomic approaches may improve insights into how micro-and macroorganisms reciprocally interact to create spatial genetic structure. Conducting landscape genetic analyses on microorganisms requires that we accommodate shifts in spatial and temporal scales, presenting new conceptual and methodological challenges not yet explored in macro-landscape genetics. We argue that there is much value to be gained for microbial ecologists from embracing landscape genetic approaches. We provide a case for integrating landscape genetic methods into microecological studies and discuss specific considerations associated with the novel challenges this brings. We anticipate that microorganism landscape genetic studies will provide new insights into both micro-and macroecological processes and expand our knowledge of species distributions, adaptive mechanisms and species interactions in changing environments.	2016	25	10.1111/mec.13691
Gallardo, VA; Fonseca, A; Espinoza, C; Ruiz-Tagle, N; Musleh, S	Bacteria of the Humboldt sulfuretum comply with unifying macroecological principles	MARINE BIODIVERSITY	The next generation sequencing (NGS) tools available today, i.e., 454 Roche pyrosequencing (Shendure and Ji 2008) allow metagenomic studies on the composition and structure of microbial communities in a way that it was not possible before (Handelsman 2004). In the field of macroecology, early studies showed that fresh water and marine benthic invertebrate communities varied in their structure, i. e., number of species (species richness) and relative abundance among species (dominance or lack of it) (Thienemann 1939; Sanders 1968). From their work, we here construct the Thienemann-Sanders time-stability (TS2) hypothesis which predicts that the older and more stable the habitat the higher the species richness and diversity with a lack of dominance by any member in the community. The contrary would be the case in younger and/or drastically varying habitats. The former conditions would render a biologically accommodated community while the latter a physically controlled community. Ward et al. (1998) suggested that: By adopting the view of macroecologists and macroevolutionary biologists as they interpret their findings, microbial ecologists can see if unifying principles control the diversity, ecology, and evolution of all organisms, large and small. The question thus is: Does the TS2 hypothesis fit prokaryotic communities? As a test, here we show the results of the analysis of relative operational taxonomic unit (OTU=species proxies) abundance data of benthic bacteria from the Humboldt Sulfuretum (HS). The analysis disclosed high values of species richness, a lack of dominants, high information diversity indices, and steep rarefaction curves, all features pointing to an evolutionarily mature, biologically accommodated community consistent with the TS2 hypothesis. Thus, this study suggests that bacterial communities of old environments such as a sulfuretum comply with macroecologically-derived principles.	2016	46	10.1007/s12526-015-0377-x
