AU,TI,SO,AB,PY,VL,DI
"Lennon, JT; Locey, KJ",More support for Earths massive microbiome,BIOLOGY DIRECT,"Until recently, our planet was thought to be home to similar to 10(7) species, largely belonging to plants and animals. Despite being the most abundant organisms on Earth, the contribution of microbial life to global biodiversity has been greatly underestimated and, in some cases, completely overlooked. Using a compilation of data known as the Global Prokaryotic Census (GPC), it was recently claimed that there are similar to 10(6) extant bacterial and archaeal taxa [1], an estimate that is orders of magnitude lower than predictions for global microbial biodiversity based on the lognormal model of biodiversity and diversity-abundance scaling laws [2]. Here, we resolve this discrepancy by 1) identifying violations of sampling theory, 2) correcting for the misuse of biodiversity theory, and 3) conducting a reanalysis of the GPC. By doing so, we uncovered greater support for diversity-abundance scaling laws and the lognormal model of biodiversity, which together predict that Earth is home to 10(12) or more microbial taxa.",2020,15,10.1186/s13062-020-00261-8
"Mascarenhas, R; Ruziska, FM; Moreira, EF; Campos, AB; Loiola, M; Reis, K; Trindade-Silva, AE; Barbosa, FAS; Salles, L; Menezes, R; Veiga, R; Coutinho, FH; Dutilh, BE; Guimaraes, PR; Assis, APA; Ara, A; Miranda, JGV; Andrade, RFS; Vilela, B; Meirelles, PM",Integrating Computational Methods to Investigate the Macroecology of Microbiomes,FRONTIERS IN GENETICS,"Studies in microbiology have long been mostly restricted to small spatial scales. However, recent technological advances, such as new sequencing methodologies, have ushered an era of large-scale sequencing of environmental DNA data from multiple biomes worldwide. These global datasets can now be used to explore long standing questions of microbial ecology. New methodological approaches and concepts are being developed to study such large-scale patterns in microbial communities, resulting in new perspectives that represent a significant advances for both microbiology and macroecology. Here, we identify and review important conceptual, computational, and methodological challenges and opportunities in microbial macroecology. Specifically, we discuss the challenges of handling and analyzing large amounts of microbiome data to understand taxa distribution and co-occurrence patterns. We also discuss approaches for modeling microbial communities based on environmental data, including information on biological interactions to make full use of available Big Data. Finally, we summarize the methods presented in a general approach aimed to aid microbiologists in addressing fundamental questions in microbial macroecology, including classical propositions (such as everything is everywhere, but the environment selects) as well as applied ecological problems, such as those posed by human induced global environmental changes.",2020,10,10.3389/fgene.2019.01344
"Seppey, CVW; Broennimann, O; Buri, A; Yashiro, E; Pinto-Figueroa, E; Singer, D; Blandenier, Q; Mitchell, EAD; Niculita-Hirzel, H; Guisan, A; Lara, E",Soil protist diversity in the Swiss western Alps is better predicted by topo-climatic than by edaphic variables,JOURNAL OF BIOGEOGRAPHY,"Aim Trends in spatial patterns of diversity in macroscopic organisms can be well predicted from correlative models, using topo-climatic variables for plants and animals allowing inference over large scales. By contrast, diversity in soil microorganisms is generally considered as mostly driven by edaphic variables and, therefore, difficult to extrapolate on a large spatial scale based on predictive models. Here, we compared the power of topo-climatic versus edaphic variables for predicting the diversity of various soil protist groups at the regional scale. Location Swiss western Alps. Taxa Full protist community and nine clades belonging respectively to three functional groups: parasites (Apicomplexa, Peronosporomycetes and Phytomyxea), phagotrophs (Sarcomonadea, Tubulinea and Spirotrichea) and phototrophs (Chlorophyta, Trebouxiophyceae and Diatomeae). Methods We extracted soil DNA from 178 sites along a wide range of elevations with a random-stratified sampling design. We defined protist Operational Taxonomic Units assemblages by metabarcoding of the V4 region of the rRNA small subunit gene. We assessed and modelled the diversity (Shannon index) patterns of all above-mentioned taxonomic groups based on topo-climatic (topography, slope southness, slope steepness and average summer temperature) and edaphic (soil temperature, relative humidity, pH, electroconductivity, phosphorus percentage, carbon/nitrogen, loss on ignition and shale percentage) variables in Generalized Additive Models (GAM). Results The respective significance of topo-climatic and edaphic variables varied among taxonomic and-to a certain extent-functional groups: while many variables explained significantly the diversity of the three phototrophs this was less the case for the three parasites. Topo-climatic variables had a better predictive power than edaphic variables, yet predictive power varied among taxonomic groups. Main conclusions Topo-climatic variables (particularly slope steepness and summer temperature if we consider their significance in the GAMs) were, on average, better predictors of protist diversity at the landscape scale than edaphic variables. However, the predictive power of these variables on diversity differed considerably among taxonomic groups; such relationships may be due to direct and/or indirect (e.g. biotic) influences (like with parasitic taxa, where low predictive power is most likely explained by the absence of information on the hosts distribution). Future prospects include using such spatial models to predict hotspots of diversity and disease outbreaks.",,,10.1111/jbi.13755
"Thakur, MP; Phillips, HRP; Brose, U; De Vries, FT; Lavelle, P; Loreau, M; Mathieu, J; Mulder, C; Van der Putten, WH; Rillig, MC; Wardle, DA; Bach, EM; Bartz, MLC; Bennett, JM; Briones, MJI; Brown, G; Decaens, T; Eisenhauer, N; Ferlian, O; Guerra, CA; Konig-Ries, B; Orgiazzi, A; Ramirez, KS; Russell, DJ; Rutgers, M; Wall, DH; Cameron, EK",Towards an integrative understanding of soil biodiversity,BIOLOGICAL REVIEWS,"Soil is one of the most biodiverse terrestrial habitats. Yet, we lack an integrative conceptual framework for understanding the patterns and mechanisms driving soil biodiversity. One of the underlying reasons for our poor understanding of soil biodiversity patterns relates to whether key biodiversity theories (historically developed for aboveground and aquatic organisms) are applicable to patterns of soil biodiversity. Here, we present a systematic literature review to investigate whether and how key biodiversity theories (species-energy relationship, theory of island biogeography, metacommunity theory, niche theory and neutral theory) can explain observed patterns of soil biodiversity. We then discuss two spatial compartments nested within soil at which biodiversity theories can be applied to acknowledge the scale-dependent nature of soil biodiversity.",2020,95,10.1111/brv.12567
"Cobian, GM; Egan, CP; Amend, AS",Plant-microbe specificity varies as a function of elevation,ISME JOURNAL,"Specialized associations between interacting species fundamentally determine the diversity and distribution of both partners. How the specialization of guilds of organisms varies along environmental gradients underpins popular theories of biogeography and macroecology, whereas the degree of specialization of a species is typically considered fixed. However, the extent to which environmental context impacts specialization dynamics is seldom examined empirically. In this study, we examine how specialization within a bipartite network consisting of three co-occurring plant species and their foliar fungal endophyte symbionts changes along a 1000-meter elevation gradient where host species were held constant. The gradient, along the slope of Mauna Loa shield volcano, represents almost the entire elevational range of two of the three plants. Network and plant specialization values displayed a parabolic relationship with elevation, and were highest at middle elevations, whereas bipartite associations were least specific at low and high elevations. Shannons diversity of fungal endophytes correlated negatively with specificity, and was highest at the ends of the transects. Although plant host was a strong determinant of fungal community composition within sites, fungal species turnover was high among sites. There was no evidence of spatial or elevational patterning in fungal community compositon. Our work demonstrates that specificity can be a plastic trait, which is influenced by the environment and centrality of the host within its natural range.",2019,13,10.1038/s41396-019-0470-4
"Sonnenburg, JL; Sonnenburg, ED",Vulnerability of the industrialized microbiota,SCIENCE,"The human body is an ecosystem that is home to a complex array of microbes known as the microbiome or microbiota. This ecosystem plays an important role in human health, but as a result of recent lifestyle changes occurring around the planet, whole populations are seeing a major shift in their gut microbiota. Measures meant to kill or limit exposure to pathogenic microbes, such as antibiotics and sanitation, combined with other factors such as processed food, have had unintended consequences for the human microbial ecosystem, including changes that may be difficult to reverse. Microbiota alteration and the accompanying loss of certain functional attributes might result in the microbial communities of people living in industrialized societies being suboptimal for human health. As macroecologists, conservationists, and climate scientists race to document, understand, predict, and delay global changes in our wider environment, microbiota scientists may benefit by using analogous approaches to study and protect our intimate microbial ecosystems.",2019,366,10.1126/science.aaw9255
"Rapacciuolo, G; Beman, JM; Schiebelhut, LM; Dawson, MN",Microbes and macro-invertebrates show parallel beta-diversity but contrasting alpha-diversity patterns in a marine natural experiment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Documenting ecological patterns across spatially, temporally and taxonomically diverse ecological communities is necessary for a general understanding of the processes shaping biodiversity. A major gap in our understanding remains the comparison of diversity patterns across a broad spectrum of evolutionarily and functionally diverse organisms, particularly in the marine realm. Here, we aim to narrow this gap by comparing the diversity patterns of free-living microbes and macro-invertebrates across a natural experiment provided by the marine lakes of Palau: geographically discrete and environmentally heterogeneous bodies of seawater with comparable geological and climatic history, and a similar regional species pool. We find contrasting patterns of alpha-diversity but remarkably similar patterns of beta-diversity between microbial and macro-invertebrate communities among lakes. Pairwise dissimilarities in community composition among lakes are positively correlated between microbes and macro-invertebrates, and influenced to a similar degree by marked gradients in oxygen concentration and salinity. Our findings indicate that a shared spatio-temporal and environmental context may result in parallel patterns of beta-diversity in microbes and macro-invertebrates, in spite of key trait differences between these organisms. This raises the possibility that parallel processes also influence transitions among regional biota across the tree of life, at least in the marine realm.",2019,286,10.1098/rspb.2019.0999
"Castle, SC; Samac, DA; Sadowsky, MJ; Rosen, CJ; Gutknecht, JLM; Kinkel, LL",Impacts of Sampling Design on Estimates of Microbial Community Diversity and Composition in Agricultural Soils,MICROBIAL ECOLOGY,"Soil microbiota play important and diverse roles in agricultural crop nutrition and productivity. Yet, despite increasing efforts to characterize soil bacterial and fungal assemblages, it is challenging to disentangle the influences of sampling design on assessments of communities. Here, we sought to determine whether composite samples-often analyzed as a low cost and effort alternative to replicated individual samples-provide representative summary estimates of microbial communities. At three Minnesota agricultural research sites planted with an oat cover crop, we conducted amplicon sequencing for soil bacterial and fungal communities (16S(V4) and ITS2) of replicated individual or homogenized composite soil samples. We compared soil microbiota from within and among plots and then among agricultural sites using both sampling strategies. Results indicated that single or multiple replicated individual samples, or a composite sample from each plot, were sufficient for distinguishing broad site-level macroecological differences among bacterial and fungal communities. Analysis of a single sample per plot captured only a small fraction of the distinct OTUs, diversity, and compositional variability detected in the analysis of multiple individual samples or a single composite sample. Likewise, composite samples captured only a fraction of the diversity represented by the six individual samples from which they were formed, and, on average, analysis of two or three individual samples offered greater compositional coverage (i.e., greater number of OTUs) than a single composite sample. We conclude that sampling design significantly impacts estimates of bacterial and fungal communities even in homogeneously managed agricultural soils, and our findings indicate that while either strategy may be sufficient for broad macroecological investigations, composites may be a poor substitute for replicated samples at finer spatial scales.",2019,78,10.1007/s00248-019-01318-6
"Crowther, TW; van den Hoogen, J; Wan, J; Mayes, MA; Keiser, AD; Mo, L; Averill, C; Maynard, DS",The global soil community and its influence on biogeochemistry,SCIENCE,"Soil organisms represent the most biologically diverse community on land and govern the turnover of the largest organic matter pool in the terrestrial biosphere. The highly complex nature of these communities at local scales has traditionally obscured efforts to identify unifying patterns in global soil biodiversity and biogeochemistry. As a result, environmental covariates have generally been used as a proxy to represent the variation in soil community activity in global biogeochemical models. Yet over the past decade, broad-scale studies have begun to see past this local heterogeneity to identify unifying patterns in the biomass, diversity, and composition of certain soil groups across the globe. These unifying patterns provide new insights into the fundamental distribution and dynamics of organic matter on land.",2019,365,10.1126/science.aav0550
"Soininen, J; Teittinen, A",Fifteen important questions in the spatial ecology of diatoms,FRESHWATER BIOLOGY,"Recently, studies about the spatial distribution of microbial species and communities have increased substantially. Freshwater diatoms are used as one of the most popular model taxa in such macroecological studies, but the most exciting patterns in the spatial ecology of diatoms have not been reviewed. Here, we identify 15 important questions about freshwater diatom ecology, review the major findings, and suggest novel research avenues. We found that diatoms do not support classical latitudinal diversity gradient, species-area relationship or Rapoports rule. We found some, albeit inconsistent support for an elevational diversity gradient, Bergmanns rule and niche conservation. Diatoms do support a positive interspecific abundance-occupancy relationship like nearly all other taxa. With regards to metacommunity dynamics, diatom communities are typically structured by species sorting, but neutral dynamics or mass effects are also evident at large or small spatial scale, respectively. Taken together, this review suggests that diatoms follow some classical biogeographical patterns similarly to larger taxa, but patterns are typically weaker than for macro-organisms. This may result because diatoms are typically relatively strongly controlled by local factors and often exhibit efficient stochastic dispersal processes both at small and large scales. More research is needed to build a more comprehensive view of diatom species-area relationships and latitudinal gradients in diversity, for example. In the future, well-replicated macroecological field experiments, diatom studies with intercontinental or global coverage, trait-based approaches, and DNA-based species identification would be fruitful avenues to shed more light into the spatial ecology of diatoms.",2019,64,10.1111/fwb.13384
"Locey, KJ; Lennon, JT",A Residence Time Theory for Biodiversity,AMERICAN NATURALIST,"From microorganisms to the largest macroorganisms, much of Earths biodiversity is subject to forces of physical turnover. Residence time is the ratio of an ecosystems size to its rate of flow and provides a means for understanding the influence of physical turnover on biological systems. Despite its use across scientific disciplines, residence time has not been integrated into the broader understanding of biodiversity, life history, and the assembly of ecological communities. Here we propose a residence time theory for the growth, activity, abundance, and diversity of traits and taxa in complex ecological systems. Using thousands of stochastic individual-based models to simulate energetically constrained life-history processes, we show that our predictions are conceptually sound and mutually compatible and that they support ecological relationships that underpin much of biodiversity theory. We discuss the importance of residence time across the ecological hierarchy and propose how residence time can be integrated into theories ranging from population genetics to macroecology.",2019,194,10.1086/703456
"Geyer, KM; Barrett, JE",Unimodal productivity-diversity relationships among bacterial communities in a simple polar soil ecosystem,ENVIRONMENTAL MICROBIOLOGY,"Unlike other macroecological principles, relationships between productivity and diversity have not been effectively tested for microbial communities. Here we describe an experiment in which the availability of resources to soil bacterial communities was manipulated in a model system, the McMurdo Dry Valleys of Antarctica. Mannitol additions were used to simulate a productivity gradient such that a response in bacterial biomass production, taxonomic diversity and functioning (e.g., enzyme activity) were induced. Resource amendment induced a positive linear response in microbial productivity (P < 0.001) but a unimodal (hump-shaped) response in microbial diversity at multiple taxonomic scales (P = 0.035). Putative oligotrophic (e.g., phyla Nitrospirae and Cyanobacteria) and copiotrophic (e.g., phylum Proteobacteria) taxa were apparent through substantial community turnover along the resource gradient. Soil enzyme activity was inversely related to bacterial biomass but positively related to diversity, suggesting the latter may be a stronger control over enzyme-mediated decomposition. The mechanisms behind this pattern are consistent with macroecological theory of a shift from environmental (e.g., stress tolerance) to biotic (e.g., competition) drivers with increasing resource availability. This evidence is among the first of its kind to document a significant unimodal productivity-diversity relationship for soil bacteria.",2019,21,10.1111/1462-2920.14639
"Shade, A; Stopnisek, N",Abundance-occupancy distributions to prioritize plant core microbiome membership,CURRENT OPINION IN MICROBIOLOGY,"Core microbiome members are consistent features of a dataset that are hypothesized to reflect underlying functional relationships with the host. A review of the recent plant-microbiome literature reveals a variety of study-specific approaches used to define the core, which presents a challenge to building a general plant-microbiome framework. Abundance-occupancy distributions, used in macroecology to describe changes in community diversity over space, offer an ecological approach for prioritizing core membership for both spatial and temporal studies. Additionally, neutral models fit to the abundance-occupancy distributions can provide insights into deterministically selected core members. We provide examples and code to systematically explore a core plant microbiome from abundance-occupancy distributions. Though we focus on examples from and discussions relevant to the plant microbiome, the abundance-occupancy method can be widely and generally applied to prioritize core membership for any microbiome.",2019,49,10.1016/j.mib.2019.09.008
"Archer, SDJ; Lee, KC; Caruso, T; Maki, T; Lee, CK; Carys, SC; Cowan, DA; Maestre, FT; Pointing, SB",Airborne microbial transport limitation to isolated Antarctic soil habitats,NATURE MICROBIOLOGY,"Dispersal is a critical yet poorly understood factor underlying macroecological patterns in microbial communities(1). Airborne microbial transport is assumed to occupy a central role in determining dispersal outcomes(2,3), and extra-range dispersal has important implications for predicting ecosystem resilience and response to environmental changes. One of the most pertinent biomes in this regard is Antarctica, given its geographic isolation and vulnerability to climate change and human disturbances. Here, we report microbial diversity in near-ground and high-altitude air above the largest ice-free Antarctic habitat, as well as that of underlying soil microbial communities. We found that persistent local airborne inputs were unable to fully explain Antarctic soil community assembly. Comparison with airborne microbial diversity from high-altitude and non-polar sources suggests that strong selection occurs during long-range atmospheric transport. The influence of selection during airborne transit and at sink locations varied between microbial phyla. Overall, the communities from this isolated Antarctic ecosystem displayed limited connectivity to the non-polar microbial pool, and alternative sources of recruitment are necessary to fully explain extant soil diversity. Our findings provide critical insights into the role of airborne transport limitation in determining microbial biogeographic patterns.",2019,4,10.1038/s41564-019-0370-4
"Han, BA; Ostfeld, RS",Topic modeling of major research themes in disease ecology of mammals,JOURNAL OF MAMMALOGY,"Disease ecology is a rapidly growing subdiscipline, and mammals and their parasites feature prominently in both historical and more recent research efforts. Nevertheless, the diversity of topics explored, and those not well explored, has not been systematically assessed. We conducted a systematic review of the published scientific literature in disease ecology of mammals and subjected the collection of original and review articles identified to a topic modeling approach, which is based on the words used in the published texts and their contexts (i.e., the frequency and strength of their semantic relationships with one another). In addition to concept maps identifying the most prominent research themes, we identified eight (not mutually exclusive) subcategories of studies, including experimental, theoretical, comparative, behavioral, immunological-microbiological, biogeographic-macroecological, vector-focused (e.g., mosquitoes), and disturbance-focused. The most prominent themes arising in review papers included the ecology of zoonotic diseases transmitted from non-human mammals, comparisons of pathogen prevalence between mammalian species, and pathogen discovery-disease surveillance studies, particularly of marine mammals and bats. For the original articles, the most prominent themes included ecology of rodent-transmitted viral and bacterial diseases and the population biology of zoonotic hosts. Most studies used comparative or descriptive approaches to investigate mammal-pathogen-disease relationships at a local scale, focusing on vector-borne diseases. Experimental, modeling, immunological, and behavioral approaches were strikingly underrepresented. Topics of strong conceptual importance, but that are underrepresented in the current literature, include: 1) the effects of the population density of mammalian hosts, and manipulations of density, on pathogen transmission; 2) macroecological studies that quantify effects of mammalian host species on parasite abundance and prevalence; and 3) effects of climate change on physiological and behavioral processes relevant to mammal-parasite interactions.",2019,100,10.1093/jmammal/gyy174
