AU	TI	SO	AB	PY	VL	DI
Su, YG; Liu, J; Zhang, BC; Zhao, HM; Huang, G	Habitat-specific environmental factors regulate spatial variability of soil bacterial communities in biocrusts across northern Chinas drylands	SCIENCE OF THE TOTAL ENVIRONMENT	Biocrusts are common biotic components in diyland ecosystems worldwide, they contain diverse soil organisms and effectively enhance soil stability and perform a series of key ecological functions. However, the geographical pattern of microbial communities in biocrusts is rarely assessed, despite it is closely related to the spatial variation of ecosystem functions in drylands. We assessed soil bacterial communities in biocrusts across four ecosystems (Gobi, desert, desert steppe and grassland) in a precipitation gradient (16-566 mm yr(-1)) in northern China. Bacterial OTU number and phylogenetic diversity did not linearly increase with decreasing aridity, they were significantly lower in Gobi and similar among desert, desert steppe and grassland. Soil bacterial community composition in Gobi and desert were different than those in desert steppe and grassland, and they were similar between Gobi and desert, this suggests the key role of habitat in structuring soil bacterial communities. The geographic pattern of soil bacterial communities was strongly influenced by both geographic distance and environmental factors. The first explanatory factor for the geographic variation of bacterial community dissimilarity differed among four ecosystems, being aridity in Gobi and desert, precipitation in desert steppe, and soil inorganic nitrogen in grassland. The geographic pattern of the bacterial functional group profile showed a similar pattern with community composition across four ecosystems, and the groups of containing mobile elements and gram negative bacteria were more abundant in drier habitats of Gobi and desert. Our results reveal the non-linear changes in diversity, composition and functional group of soil bacterial communities in biocrusts across the precipitation gradient from hyper-arid to semi-humid regions, and suggest that the geographic distance and habitat-specific environmental factors determine the distribution of soil bacterial communities in different ecosystems. (C) 2020 Elsevier B.V. All rights reserved.	2020	719	10.1016/j.scitotenv.2020.137479
Bock, C; Jensen, M; Forster, D; Marks, S; Nuy, J; Psenner, R; Beisser, D; Boenigk, J	Factors shaping community patterns of protists and bacteria on a European scale	ENVIRONMENTAL MICROBIOLOGY	Factors shaping community patterns of microorganisms are controversially discussed. Physical and chemical factors certainly limit the survival of individual taxa and maintenance of diversity. In recent years, a contribution of geographic distance and dispersal barriers to distribution patterns of protists and bacteria has been demonstrated. Organismic interactions such as competition, predation and mutualism further modify community structure and maintenance of distinct taxa. Here, we address the relative importance of these different factors in shaping protists and bacterial communities on a European scale using high-throughput sequencing data obtained from lentic freshwater ecosystems. We show that community patterns of protists are similar to those of bacteria. Our results indicate that cross-domain organismic factors are important variables with a higher influence on protists as compared with bacteria. Abiotic physical and chemical factors also contributed significantly to community patterns. The contribution of these latter factors was higher for bacteria, which may reflect a stronger biogeochemical coupling. The contribution of geographical distance was similar for both microbial groups.			10.1111/1462-2920.14992
Su, YG; Chen, YW; Padilla, FM; Zhang, YM; Huang, G	The influence of biocrusts on the spatial pattern of soil bacterial communities: A case study at landscape and slope scales	SOIL BIOLOGY & BIOCHEMISTRY	Biocrusts are a functional unit in arid and semiarid areas, their development has significant recruitment and screening effects on soil microbial communities. Microbial composition of biocrusts exhibits significant geographical patterns, but the regulation of biocrust development on the geographical patterns in unclear. In this study, we examined bacterial communities from cyanobacterial-lichen and moss crust soils in five desert habitats in northern China, and evaluated the relative importance of environmental factors and biocrust development versus geographic distance to the distance-decay relationship. To explore the effects of the sampling scale on geographical patterns, we also examined soil bacterial communities along the slope of sand dunes. Across the five desert habitats, bacterial a-diversity, phylogenetic diversity, and the dominant bacterial phyla in cyanobacteriallichen crusts did not increase consistently with precipitation increase, instead bacterial community composition was mainly impacted by soil nutrients (SOC, TP) and biocrust development (thickness, cover and Chl a). Bacterial p-diversity in both cyanobacterial-lichen and moss crusts showed strong distance-decay relationships across the landscape scale; bacterial community composition in cyanobacterial-lichen crusts differed significantly among five desert habitats. Environmental and biocrust development variables explained bacterial community variation better than geographic distance, suggesting a weaker influence of dispersal limitation on the bacterial communities in biocrusts. In addition, the distance-decay rate was higher at the slope than that at the landscape scale, suggesting a fast turnover rate of bacterial community communities induced by topography. Our study implies that soil attributes and biocrust development have more profound impacts on soil bacterial communities than precipitation, which provides novel insights into the geographical distribution and assemblage of soil bacterial communities in deserts. Moreover, our study is significant with respect to understanding the potential responses of soil microbial communities to climate change in desert areas under the scenario of increasing precipitation variation.	2020	142	10.1016/j.soilbio.2020.107721
Sun, P; Wang, Y; Laws, E; Huang, BQ	Water mass-driven spatial effects and environmental heterogeneity shape microeukaryote biogeography in a subtropical, hydrographically complex ocean system - A case study of ciliates	SCIENCE OF THE TOTAL ENVIRONMENT	The relative importance of geographic distance and depth in shaping microeukaryote community composition on a regional scale remains unclear, especially how that composition is related to the movement of water masses. Here, we collected 156 water samples across the Taiwan Strait, which is characterized by complex topography and dynamic circulation, to investigate the composition of the ciliate community with high-throughput sequencing of the 18S rRNA gene transcript. Ciliate alpha diversity exhibited strong correlations with water chemistry, food abundance, and geographic distance; approximately 50% of the variance of the diversity could be explained by dissolved oxygen concentrations, chlorophyll a concentrations, bacterial abundance, and latitude. The sampling sites could be divided into three provinces based on the compositions of the ciliate communities, which exhibited a distinctly nonuniform spatial distribution pattern on a regional scale (587 km). Geographic distance, environmental conditions, and depth were identified as principal determinants of the ciliate community within the Strait. Geographic distance was the most influential factor. The effect of geographic distance seems to mainly reflect the movement of water masses that strongly constrain dispersal and contribute to environmental heterogeneity that accounts for 86.0% and 5.5%, respectively, of community valiance across the Strait. Overall, this study revealed that ciliate biogeography as a function of depth and environmental gradients is linked on a regional scale to the water masses that the ciliates inhabit. This result expands our knowledge of the drivers of microeukaryote community composition across regions within which there are water mass movements and strong spatial and environmental gradients. (C) 2019 Elsevier B.V. All rights reserved.	2020	706	10.1016/j.scitotenv.2019.135753
Wang, XY; He, TH; Gen, SY; Zhang, XQ; Wang, X; Jiang, D; Li, CY; Li, CS; Wang, JL; Zhang, WY; Li, CD	Soil properties and agricultural practices shape microbial communities in flooded and rainfed croplands	APPLIED SOIL ECOLOGY	Understanding the dynamics of soil microbial communities and the factors that affect those dynamics is crucial for comprehending the processes affecting soil fertility in agricultural ecosystems. Here, we used shotgun DNA sequencing to characterise 29 soil microbial communities in flooded paddies in Chinas Yangtze River Basin, and comparatively analysed the composition and function of microbial communities with 132 communities from North and South Americas rainfed cropland. We hypothesised that soil microbial community diversity and functional composition are predominantly determined by edaphic properties and land-use history, rather than by spatial distance and climate. We revealed significant differences in taxonomic structure and functional composition among the microbial communities collected from a 2000 km transect along the Yangtze River and found that taxonomic diversity and genomic functional composition of the soil microbial communities were predominantly defined by soil pH. The significant correlation between soil pH and microbial community diversity can be extended to soils from different continents. Microbial communities in flooded paddies in China differed significantly from those in rainfed croplands in North and South America, while the communities from rainfed croplands in North and South America were similar despite their significant differences in geographic distance. Together with available evidence, our results suggest that soil microbial diversity is controlled primarily by edaphic variables rather than by climate, which differs fundamentally from the global biogeography of macro-organisms. The predominant element of soil properties (soil pH in particular) and the response of particular taxa to changing pH provides insight for the selection of agronomic practice. Agronomic practice and fertilisation may change soil pH and therefore alter soil microbial diversity and composition, which could have an impact on soil nutrient supply in agricultural ecosystems. Significance: Traditional methods may underestimate the microbial diversity. Metagenome analysis using whole genome sequencing allows quantification of the diversity more accurately and characterisation of the function of the mega-diverse soil microbial communities simultaneously. Using metagenome analysis on 141 soil microbial communities collected from global agriculture soil system with 32 from flooded paddies in China and 129 from rain-fed farmland in North and South America. We found that the significant correlation between soil pH and diversity of microbial communities can be extended to soils from different continents, which is fundamentally different from the diversity and community structure of macro-organisms. Moreover, we revealed that land use and cultivation history have shaped the taxonomic and functional composition in the soil microbial community. Our study deepens our understanding of the structure and function of the soil microbial community in general, and have particularly important implications in agricultural practice.	2020	147	10.1016/j.apsoil.2019.103449
Li, X; Wang, HH; Li, X; Li, XY; Zhang, HW	Distribution characteristics of fungal communities with depth in paddy fields of three soil types in China	JOURNAL OF MICROBIOLOGY	Little is known about the distribution of fungal communities with soil depth on relatively large scales. In this study, typical paddy soils in three regions (Hailun, Changshu, and Yingtan) from north to south China were selected to investigate the vertical distribution (0-100 cm) of the fungal community by Illumina MiSeq sequencing, and to identify the main factors influencing the fungal community distribution. The results indicated that the structure of the soil fungal community changed significantly with region and soil depth. Soil fungal taxa such as Zygomycota, Glomeromycota, Saccharomycete, Kazachstania, Mortierella, Massariosphaeria, Hypholoma, and Zopfiella were enriched at depths of 0-20 cm, whereas Dothideomycetes, Microbotryomycetes, Tremellomycetes, Sporobolomyces, Cryptococcus, Rhodotorula, Fusarium, and Pyrenochaetopsis had high relative abundances at 80-100 cm. Variance partitioning analysis indicated that the geographic distance contributed more to the fungal community variation than environmental variables on a large scale. In addition, soil total carbon and nitrogen contents were the main environmental factors driving the vertical distribution of the fungal community in paddy soils.	2020	58	10.1007/s12275-020-9409-8
Donald, J; Roy, M; Suscun, U; Iribar, A; Manzi, S; Pellissier, L; Gaucher, P; Chave, J	A test of community assembly rules using foliar endophytes from a tropical forest canopy	JOURNAL OF ECOLOGY	Community assembly theory assumes that ecological communities are spatially delimited into patches. Within these patches, coexistence results from environmental filtering, competition and immigration. Truly delineated communities exist in laboratory studies of microbial cultures in Petri dishes, yet empirical tests conducted in continuous environments often use patches defined by convention as opposed to realized boundaries. Here we perform a test of ecological community assembly rules using foliar endophyte communities from a tropical rainforest, where leaves are considered as patches for both fungal and bacterial communities. We determined the diversity of fungal and bacterial endophytes using environmental DNA sequencing of 365 top-canopy leaves, collected from 38 host trees belonging to 22 different species across a 4-ha research plot. Three leaves were collected from three or more branches within each tree crown. We tested the effect of host tree species and their level of phylogenetic relatedness on community composition as well as the contribution of geographic distance between leaves to endophyte community diversity. Endophyte diversity significantly differed across host tree species, as did community composition. Within certain endophytic orders (Xylariales, Rhizobiales) species assemblages significantly differed across host tree species, but this trend was weaker or non-existent in other orders known to contain pathogens and saprotrophs (Polyporales, Solirubrobacterales). Phylogenetically related host tree species displayed more similar endophyte communities than expected by chance, but geographically close trees did not. Consistent with the finding of host-specificity, nearby leaves tended to host more similar communities than distantly positioned ones. These findings demonstrate that foliar endophytes are structured by dispersal across small spatial scales, but at the scale of the canopy they display patterns of neutral filtering, with only a small part of variation described by host tree differences. Endophyte communities thus act as a model system in evoking the rules predicted by theoretical community ecology.			10.1111/1365-2745.13344
Easson, CG; Chaves-Fonnegra, A; Thacker, RW; Lopez, JV	Host population genetics and biogeography structure the microbiome of the sponge Cliona delitrix	ECOLOGY AND EVOLUTION	Sponges occur across diverse marine biomes and host internal microbial communities that can provide critical ecological functions. While strong patterns of host specificity have been observed consistently in sponge microbiomes, the precise ecological relationships between hosts and their symbiotic microbial communities remain to be fully delineated. In the current study, we investigate the relative roles of host population genetics and biogeography in structuring the microbial communities hosted by the excavating sponge Cliona delitrix. A total of 53 samples, previously used to demarcate the population genetic structure of C. delitrix, were selected from two locations in the Caribbean Sea and from eight locations across the reefs of Florida and the Bahamas. Microbial community diversity and composition were measured using Illumina-based high-throughput sequencing of the 16S rRNA V4 region and related to host population structure and geographic distribution. Most operational taxonomic units (OTUs) specific to Cliona delitrix microbiomes were rare, while other OTUs were shared with congeneric hosts. Across a large regional scale (>1,000 km), geographic distance was associated with considerable variability of the sponge microbiome, suggesting a distance-decay relationship, but little impact over smaller spatial scales (<300 km) was observed. Host population structure had a moderate effect on the structure of these microbial communities, regardless of geographic distance. These results support the interplay between geographic, environmental, and host factors as forces determining the community structure of microbiomes associated with C. delitrix. Moreover, these data suggest that the mechanisms of host regulation can be observed at the population genetic scale, prior to the onset of speciation.	2020	10	10.1002/ece3.6033
Wang, YL; Gao, C; Chen, L; Ji, NN; Wu, BW; Lu, PP; Li, XC; Qian, X; Maitra, P; Babalola, BJ; Zheng, Y; Guo, LD	Community Assembly of Endophytic Fungi in Ectomycorrhizae of Betulaceae Plants at a Regional Scale	FRONTIERS IN MICROBIOLOGY	The interaction between aboveground and belowground biotic communities drives community assembly of plants and soil microbiota. As an important component of belowground microorganisms, root-associated fungi play pivotal roles in biodiversity maintenance and community assembly of host plants. The Betulaceae plants form ectomycorrhizae with soil fungi and widely distribute in various ecosystems. However, the community assembly of endophytic fungi in ectomycorrhizae is less investigated at a large spatial scale. Here, we examined the endophytic fungal communities in ectomycorrhizae of 22 species in four genera belonging to Betulaceae in Chinese forest ecosystems, using Illumina Miseq sequencing of internal transcribed spacer 2 amplicons. The relative contribution of host phylogeny, climate and soil (environmental filtering) and geographic distance (dispersal limitation) on endophytic fungal community was disentangled. In total, 2,106 endophytic fungal operational taxonomic units (OTUs) were obtained at a 97% sequence similarity level, dominated by Leotiomycetes, Agaricomycetes, Eurotiomycetes, and Sordariomycetes. The endophytic fungal OTU richness was significantly related with host phylogeny, geographic distance, soil and climate. The endophytic fungal community composition was significantly affected by host phylogeny (19.5% of variation explained in fungal community), geographic distance (11.2%), soil (6.1%), and climate (1.4%). This finding suggests that environmental filtering by plant and abiotic variables coupled with dispersal limitation linked to geographic distance determines endophytic fungal community assembly in ectomycorrhizae of Betulaceae plants, with host phylogeny being a stronger determinant than other predictor variables at the regional scale.	2020	10	10.3389/fmicb.2019.03105
Ribeiro, KF; Ferrero, AP; Duarte, L; Turchetto-Zolet, AC; Crossetti, LO	Comparative phylogeography of two free-living cosmopolitan cyanobacteria: Insights on biogeographic and latitudinal distribution	JOURNAL OF BIOGEOGRAPHY	Aim Free-living bacteria have long been assumed to have little biogeographic signature because of their high potential for passive dispersal. Raphidiopsis raciborskii and Microcystis aeruginosa are free-living cosmopolitan cyanobacteria with a probable tropical origin, that frequently form toxic blooms and are considered invasive species in middle latitudes. Despite these similarities, their phylogeographic patterns have seldom been directly compared. Our aim was to reconstruct the phylogeographic histories of R. raciborskii and M. aeruginosa, in order to explore whether their current distributions could be attributed to the same biogeographic events. Location Global. Taxa Raphidiopsis raciborskii (Nostocales) and Microcystis aeruginosa (Chroococcales). Methods The phylogeography of these species was studied based on global genetic diversity patterns from a dataset of worldwide 16S rRNA gene sequences. Genetic diversity indices were measured globally and by latitude. Analyses based on distance matrices were performed to evaluate the correlation between genetic divergence, geographic distance and climatic conditions. Demographic history was investigated through neutrality tests and Bayesian Skyline Plot analysis. Results For both species, the genetic diversity is highest in tropical latitudes, and the data provided evidence of recent population expansions (in the last 2,500 years). R. raciborskii showed much lower genetic diversity than M. aeruginosa. A significant phylogeographic structure was found for R. raciborskii but not for M. aeruginosa. Climatic conditions had a significant influence on the genetic structure of both species, but this influence was stronger and varied according to latitude only for R. raciborskii. Main Conclusions Supporting the hypothesis of a tropical origin and recent dispersal to temperate habitats, both species had higher genetic diversity in tropical latitudes and showed evidence of recent population expansions. R. raciborskii populations showed a significant decline in genetic similarity with increasing geographic distance, indicating an interaction between drift and some dispersal limitation on its phylogeography. In contrast, M. aeruginosa seemed to have a high frequency of intercontinental dispersal. Finally, the particularities of each species, such as the ability to form akinetes in R. raciborskii and high genome plasticity and niche specialization in M. aeruginosa, may be associated with the lower genetic diversity of R. raciborskii when compared to M. aeruginosa.			10.1111/jbi.13785
