AU	TI	SO	AB	PY	VL	DI
Miletto, M; Loy, A; Antheunisse, AM; Loeb, R; Bodelier, PLE; Laanbroek, HJ	Biogeography of sulfate-reducing prokaryotes in river floodplains	FEMS MICROBIOLOGY ECOLOGY	In this study, a large-scale field survey was conducted to describe the biogeography of sulfate-reducing prokaryotes (SRPs) in river floodplains. Fingerprints obtained with three methods, i.e. 16S rRNA gene-based oligonucleotide microarray, dsrB-based denaturing gradient gel electrophoresis (DGGE) and polar lipid-derived fatty acid (PLFA) analyses, were used as a proxy to describe the SRPs community diversity. Each set of profiles was subjected to a combined multivariate/correlation analysis in order to compare SRP community profiles and to highlight the environmental variables influencing the SRPs distribution along environmental gradients. Floodplain soils harbored distinct SRP communities displaying biogeographic patterns. Nearly all profiles from the tidal sites consistently separated from the nontidal sites, independently from the screening method and the multivariate statistics used. The distribution of the microarray/DGGE/PLFA-based fingerprints in the principal component plots could be correlated to eight soil variables, i.e. soil organic matter, total nitrogen, total phosphorous and total potassium, and extractable ammonium, nitrate, phosphate and sulfate, as well as seven pore water variables, i.e. phosphate, sulfate, sulfide, chloride, sodium, potassium and magnesium ions. Indication of a salinity- and plant nutrient-dependent distribution of SRPs related to Desulfosarcina, Desulfomonile and Desulfobacter was suggested by microarray, DGGE and PLFA analyses.	2008	64	10.1111/j.1574-6941.2008.00490.x
Beardsley, C; Moss, SM; Azam, F	Effect of storage temperature on prokaryotic cell counts and community composition analysis from fixed and filtered seawater samples	HELGOLAND MARINE RESEARCH	Marine, pelagic prokaryotes commonly are visualized and enumerated by epifluorescence microscopy after staining with fluorescent, DNA-binding dyes and sample preparation and storage has a major influence on obtaining reliable estimates. However, sampling often takes place in remote locations and the recommended continuous sample storage at -20 degrees C until further sample evaluation is often logistically challenging or infeasible. We investigated the effect of storage temperature on fixed and filtered seawater samples for subsequent enumeration of total prokaryotic cells and community composition analysis by fluorescence in situ hybridization (FISH). Prokaryotic abundance in surface seawater was not significantly different after 99 days when filters were stored either at room temperature (RT) or at -20 degrees C. Furthermore, there was no loss in detection rates of phylotypes by FISH from filters stored at RT or -20 degrees C for 28-30 days. We conclude that fixed and filtered seawater samples intended for total prokaryote counts or for FISH may be maintained long-term at room temperature, and this should logistically facilitate diverse studies of prokaryote ecology, biogeography, and the occurrence of human and fish/shellfish pathogens.	2008	62	10.1007/s10152-007-0080-9
Falcon, LI; Noguez, AM; Espinosa-Asuar, L; Eguiarte, LE; Souza, V	Evidence of biogeography in surface ocean bacterioplankton assemblages	MARINE GENOMICS	Regardless of the importance of bacterial assemblages as essential components of ecosystems, little is known about how their populations are structured. We analyzed the composition and turnover rates, based on 16S rDNA sequences, of surface water oceanic bacterial assemblages of the fraction between 0.1 and 0.8 mu m along a latitudinal gradient (45 degrees 642  N in the North Atlantic to 15 degrees 837  S in the South Pacific) including geographic distance, temperature, chlorophyll a and salinity. Here we show that oceanic bacterial assemblages between 0.1 and 0.8 mu m, can be structured by a variety of environmental interactions that include separation by distance and chlorophyll a concentration in temperate North Atlantic coastal samples and temperature in tropical Atlantic and Pacific coastal and open ocean samples. Bacterial phyla composition diverged between temperate and tropical regions. This study suggests that some bacterial assemblages could be structured both by environmental and spatial factors, while others by environmental factors alone. (C) 2008 Elsevier B.V. All rights reserved.	2008	1	10.1016/j.margen.2008.06.005
Novozhilov, YK; Schnittler, M	Myxomycete diversity and ecology in arid regions of the Great Lake Basin of western Mongolia	FUNGAL DIVERSITY	A systematic survey for myxomycetes in winter-cold deserts and steppes of western Mongolia resulted in a total of 333 records belonging to 36 species from 13 genera and 7 families. Physarum notabile as the most common species was recorded 72 times, but about one third of all species was classified as rare for the whole study area. Due to the very arid climate of the region, all specimens were obtained by applying the moist chamber culture technique. Maximum values for diversity and species richness were recorded in dry steppe/shrub and mountain steppe/tall shrub communities. whereas extrazonal grasslands and alpine steppes had the most depauperate myxomycete biota. Among three different groups of substrata (bark of shrubs, ground litter, and dung of herbivores) diverging trends in species richness and substrate specificity of the species were found: bark had the richest but least specific, dung the poorest but most specific myxomycete assemblage. A hierarchical cluster analysis carried out on the incidence-based Chao-Soerensen index clearly indicates a separation between myxomycete biotas of Eurasian, western North American and South American deserts, supporting the moderate endemieity model postulated for various other groups of microbes and protists.	2008	30	
Green, JL; Bohannan, BJM; Whitaker, RJ	Microbial biogeography: From taxonomy to traits	SCIENCE	The biogeographic variation of life has predominantly been studied using taxonomy, but this focus is changing. There is a resurging interest in understanding patterns in the distribution not only of taxa but also of the traits those taxa possess. Patterns of trait variation shed light on fundamental questions in biology, including why organisms live where they do and how they will respond to environmental change. Technological advances such as environmental genomics place microbial ecology in a unique position to move trait- based biogeography forward. We anticipate that as trait- based biogeography continues to evolve, micro- and macroorganisms will be studied in concert, establishing a science that is informed by and relevant to all domains of life.	2008	320	10.1126/science.1153475
Petrin, Z; Laudon, H; Malmquist, B	Diverging effects of anthropogenic acidification and natural acidity on community structure in Swedish streams	SCIENCE OF THE TOTAL ENVIRONMENT	Anthropogenic acidification caused by aerial deposition of acidifying substances is known to have detrimental effects on freshwater biota, including reductions in species diversity and ecosystem functioning. However, such impairment is not found in systems acidified to a similar extent by natural processes. A proposed explanation for this difference is that freshwater organisms have had far more time to evolve and adapt to natural than anthropogenic acidification. Thus, where acidity is natural, adaptation may account for diverse and functional communities. Here, we investigated whether adaptations-that were previously implied to occur on small spatial scales-may explain the species richness patterns on a much larger geographical scale, apply to ecological functioning, and are relevant in Sweden, where natural acidity is geologically relatively recent. Therefore, we compared differences in species diversity and ecosystem process rates between 24 acidic and circumneutral streams in northern Sweden, where acidity is natural, and southern Sweden, where acidity is largely anthropogenic. In agreement with our predictions, the difference in macroinvertebrate species richness between acidic and circumneutral streams was threefold larger in the region where acidity was anthropogenic than where it was natural, albeit marginally non-significantly. In contrast, no such trend was found for the rates of decomposition by microbes and leaf-feeding macroinvertebrates, possibly due to functional redundancy. The structure of species assemblages differed between acidic and circumneutral sites and between the regions. Our results agree with the notion that freshwater biota are adapted to natural acidity, but competing explanations including other differences in water chemistry and differences in the biogeographical colonization histories may also account for part of the observed patterns. Since naturally acidic environments similar to those in northern Sweden are widespread, we predict that diverse and functionally efficient freshwater communities that are well adapted to such conditions are more common than currently recognized. (c) 2008 Elsevier B.V. All rights reserved.	2008	394	10.1016/j.scitotenv.2008.01.055
Toplin, JA; Norris, TB; Lehr, CR; McDermott, TR; Castenholz, RW	Biogeographic and phylogenetic diversity of thermoacidophilic Cyanidiales in Yellowstone National Park, Japan, and New Zealand	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	Members of the rhodophytan order Cyanidiales are unique among phototrophs in their ability to live in extreme environments that combine low pH levels (similar to 0.2 to 4.0) and moderately high temperatures of 40 to 56 degrees C. These unicellular algae occur in far-flung volcanic areas throughout the earth. Three genera (Cyanidium, Galdieria, and Cyanidioschyzon) are recognized. The phylogenetic diversity of culture isolates of the Cyanidiales from habitats throughout Yellowstone National Park (YNP), three areas in Japan, and seven regions in New Zealand was examined by using the chloroplast RuBisCO large subunit gene (rbcL) and the 18S rRNA gene. Based on the nucleotide sequences of both genes, the YNP isolates fall into two groups, one with high identity to Galdieria sulphuraria (type II) and another that is by far the most common and extensively distributed Yellowstone type (type IA). The latter is a spherical, walled cell that reproduces by internal divisions, with a subsequent release of smaller daughter cells. This type, nevertheless, shows a 99 to 100% identity to Cyanidioschyzon merolae (type IB), which lacks a wall, divides by fission-like cytokinesis into two daughter cells, and has less than 5% of the cell volume of type IA. The evolutionary and taxonomic ramifications of this disparity are discussed. Although the 18S rRNA and rbcL genes did not reveal diversity among the numerous isolates of type IA, chloroplast short sequence repeats did show some variation by location within YNP. In contrast, Japanese and New Zealand strains showed considerable diversity when we examined only the sequences of 18S and rbcL genes. Most exhibited identities closer to Galdieria maxima than to other strains, but these identities were commonly as low as 91 to 93%. Some of these Japanese and New Zealand strains probably represent undescribed species that diverged after long-term geographic isolation.	2008	74	10.1128/AEM.02741-07
Findlay, RH; Yeates, C; Hullar, MAJ; Stahl, DA; Kaplan, LA	Biorne-level biogeography of streambed microbiota	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	A field study was conducted to determine the microbial community structures of streambed sediments across diverse geographic and climatic areas. Sediment samples were collected from three adjacent headwater forest streams within three biomes, eastern deciduous (Pennsylvania), southeastern coniferous (New Jersey), and tropical evergreen (Guanacaste, Costa Rica), to assess whether there is biome control of stream microbial community structure. Bacterial abundance, microbial biomass, and bacterial and microbial community structures were determined using classical, biochemical, and molecular methods. Microbial biomass, determined using phospholipid phosphate, was significantly greater in the southeastern coniferous biome, likely due to the smaller grain size, higher organic content, and lower levels of physical disturbance of these sediments. Microbial community structure was determined using phospholipid fatty acid (PLFA) profiles and bacterial community structure from terminal restriction fragment length polymorphism and edited (microeukaryotic PLFAs removed) PLFA profiles. Principal component analysis (PCA) was used to investigate patterns in total microbial community structure. The first principal component separated streams based on the importance of phototrophic microeukaryotes within the community, while the second separated southeastern coniferous streams from all others based on increased abundance of fungal PLFAs. PCA also indicated that within- and among-stream variations were small for tropical evergreen streams and large for southeastern coniferous streams. A similar analysis of bacterial community structure indicated that streams within biomes had similar community structures, while each biome possessed a unique streambed community, indicating strong within-biome control of stream bacterial community structure.	2008	74	10.1128/AEM.01809-07
Tourna, M; Freitag, TE; Nicol, GW; Prosser, JI	Growth, activity and temperature responses of ammonia-oxidizing archaea and bacteria in soil microcosms	ENVIRONMENTAL MICROBIOLOGY	Ammonia oxidation, as the first step in the nitrification process, plays a central role in the global cycling of nitrogen. Although bacteria are traditionally considered to be responsible for ammonia oxidation, a role for archaea has been suggested by data from metagenomic studies and by the isolation of a marine, autotrophic, ammonia-oxidizing, non-thermophilic crenarchaeon. Evidence for ammonia oxidation by non-thermophilic crenarchaea in marine and terrestrial environments is largely based on abundance of bacterial and archaeal ammonia monooxygenase (amo) genes, rather than activity. In this study, we have determined the influence of temperature on the response of ammonia-oxidizing bacteria and archaea in nitrifying soil microcosms using two approaches, involving analysis of transcriptional activity of 16S rRNA genes and of a key functional gene, amoA, which encodes ammonia monooxygenase subunit A. There was little evidence of changes in relative abundance or transcriptional activity of ammonia-oxidizing bacteria during nitrification. In contrast, denaturing gradient gel electrophoresis analysis of crenarchaeal 16S rRNA and crenarchaeal amoA genes provided strong evidence of changes in community structure of active archaeal ammonia oxidizers. Community structure changes were similar during incubation at different temperatures and much of the activity was due to a group of non-thermophilic crenarchaea associated with subsurface and marine environments, rather than soil. The findings suggest a role for crenarchaea in soil nitrification and that further information is required on their biogeography.	2008	10	10.1111/j.1462-2920.2007.01563.x
Inglis, GD; Duke, GM; Goettel, MS; Kabaluk, JT	Genetic diversity of Metarhizium anisopliae var. anisopliae in southwestern British Columbia	JOURNAL OF INVERTEBRATE PATHOLOGY	The abundance and genetic diversity of the entomopathogenic fungus, Metarhizium anisopliae var. anisopliae, in southwestern British Columbia (BC) and southern Alberta was examined. The fungus was found to be widespread in soil throughout southwestern BC, and was recovered from 56% of 85 sample sites. In contrast to southwestern BC, no M. anisopliae isolates were recovered in southern Alberta. An automated fluorescent amplified fragment length polymorphism (AFLP) method was used to examine genetic diversity. In excess of 200 isolates were characterized. The method identified 211 polymorphic amplicons, ranging in size from approximate to 92 to 400 base pairs, and it was found to be reproducible with a resolution limit of 86.2% similarity. The AFLP method distinguished Metarhizium from other entomopathogenic fungal genera, and demonstrated considerable genetic diversity (25 genotypes) among the reference strains of M. anisopliae isolates examined (i.e. recovered from various substrates and geographical locations). Although 13 genotypes of M. anisopliae var. anisopliae were recovered from southwestern BC soils, the vast majority of isolates (91%) belonged to one of two closely-related genotypes. Furthermore, these two genotypes predominated in urban, agricultural and forest soils. The reasons for the limited diversity of M. anisopliae var. anisopliae in southwestern BC are uncertain. However, findings of this study are consistent with island biogeography theory, and have significant implications for the development of this fungus for microbial control of pest insects. Crown copyright (C) 2007 Published by Elsevier Inc. All rights reserved.	2008	98	10.1016/j.jip.2007.12.001
