AU	TI	SO	AB	PY	VL	DI
Wang, XB; Lu, XT; Yao, J; Wang, ZW; Deng, Y; Cheng, WX; Zhou, JZ; Han, XG	Habitat-specific patterns and drivers of bacterial beta-diversity in Chinas drylands	ISME JOURNAL	The existence of biogeographic patterns among most free-living microbial taxa has been well established, yet little is known about the underlying mechanisms that shape these patterns. Here, we examined soil bacterial beta-diversity across different habitats in the drylands of northern China. We evaluated the relative importance of environmental factors versus geographic distance to a distance-decay relationship, which would be explained by the relative effect of basic ecological processes recognized as drivers of diversity patterns in macrobial theoretical models such as selection and dispersal. Although the similarity of bacterial communities significantly declined with increasing geographic distance, the distance-decay slope and the relative importance of factors driving distance-decay patterns varied across different habitats. A strong distance-decay relationship was observed in the alpine grassland, where the community similarity was influenced only by the environmental factors. In contrast, geographic distance was solely responsible for community similarity in the desert. Even the average compositional similarity among locations in the desert was distinctly lower compared with those in other habitats. We found no evidence that dispersal limitation strongly influenced the beta-diversity of bacterial communities in the desert grassland and typical grassland. Together, our results provide robust evidence of habitat specificity for microbial diversity patterns and their underlying drivers. Our findings suggest that microorganisms also have multiple drivers of diversity patterns and some of which may be parallel to some fundamental processes for explaining biodiversity patterns in macroorganisms.	2017	11	10.1038/ismej.2017.11
Dai, WF; Zhang, JJ; Tu, QC; Deng, Y; Qiu, QF; Xiong, JB	Bacterioplankton assembly and interspecies interaction indicating increasing coastal eutrophication	CHEMOSPHERE	Anthropogenic perturbations impose negative effects on coastal ecosystems, such as increasing levels of eutrophication. Given the biogeochemical significance of microorganisms, understanding the processes and mechanisms underlying their spatial distribution under changing environmental conditions is critical. To address this question, we examined how coastal bacterioplanlcton communities respond to increasing eutrophication levels created by anthropogenic perturbations. The results showed that the magnitude of changes in the bacterioplankton community compositions (BCCs) and the importance of deterministic processes that constrained bacterial assembly were closely associated with eutrophication levels. Moreover, increasing eutrophication significantly (P < 0.001) attenuated the distance decay rate, with a random spatial distribution of BCCs in the undisturbed location. In contrast, the complexity of interspecies interaction was enhanced under moderate eutrophication levels but declined under heavy eutrophication. Changes in the relative abundances of 27 bacterial families were significantly correlated with eutrophication levels. Notably, the pattern of enrichment or decrease for a given bacterial family was consistent with its known ecological functions. Our findings demonstrate that the magnitude of changes in BCCs and underlying determinism are dependent on eutrophication levels. However, the buffer capacity of bacterioplankton community is limited, with disrupted interspecies interaction occurring under heavy eutrophication. As such, bacterial assemblages are sensitive to changes in environmental conditions and could thus potentially serve as bio-indicators for increasing eutrophication. (C) 2017 Elsevier Ltd. All rights reserved.	2017	177	10.1016/j.chemosphere.2017.03.034
Yao, MJ; Rui, JP; Niu, HS; Hedenec, P; Li, JB; He, ZL; Wang, JM; Cao, WD; Li, XZ	The differentiation of soil bacterial communities along a precipitation and temperature gradient in the eastern Inner Mongolia steppe	CATENA	Understanding the differentiation of soil bacterial communities under precipitation and temperature gradients is crucial for assessing the impacts of environmental filters on ecosystem structure and function. Here we investigated spatial variations of bacterial communities along a precipitation and temperature transect in the eastern Inner Mongolia steppe, China. The aims are to understand the biogeographic pattern and key drivers shaping soil bacterial communities along the transect. Our results shoved that the soil bacterial community along the 451-km transect exhibited the distance-decay relationship, decreasing in community similarity with geographic distance. Obvious changes in the bacterial community structure occurred at an annual precipitation from 215 to 261 mm, which was close to the boundary between arid and semi-arid systems. The relative abundances of Proteobacteria, Bacteroidetes, and Acidobacteria increased with precipitation, while those of Actinobacteria, Chloroflexi, and Gemmatimonadetes decreased. Environmental filtering was observed to be the key in shaping bacterial biogeographic patterns, and climate conditions exert indirect effects on soil bacterial communities mainly through direct effects on soil properties. Soil pH and plant coverage were important to soil bacterial communities in both arid and semi-arid steppes. Our findings provided insights for understanding the linkages among geographic distance, environmental filters, and soil bacterial communities in Eurasian steppe ecosystems. (C) 2017 Elsevier B.V. All rights reserved.	2017	152	10.1016/j.catena.2017.01.007
Zhao, F; Xu, KD	Distribution of Ciliates in Intertidal Sediments across Geographic Distances: A Molecular View	PROTIST	The estimation of the diversity and geographic distribution of protists in particular ciliates has long been an ongoing debate. We estimated the distribution of ciliates in intertidal sediments with geographic distance ranging from 10 cm to 1,000 km, using high-throughput DNA sequencing. Higher community similarity, in particular that of rare ciliate taxa, occurred between replicates than between sites. Statistical analyses showed that the community dissimilarities of both abundant and moderately abundant ciliates had correlations with geographic distance at the scales of 50 m, 200 km and 1000 km, indicating a distance-decay relationship. No significant correlation was observed for rare taxa. The analysis of Bray-Curtis similarity showed a higher pairwise community similarity in abundant taxa than in moderately abundant taxa, and that in rare taxa was the lowest. Abundant taxa usually can disperse in a wider range than rare taxa, though their distribution is restricted by distance to some extent. Rare taxa are potentially more sensitive to changing environments, but no distance-decay relationship could be observed. The data indicate contrasting patterns of geographic distribution of the abundant and rare ciliate taxa and a weak distance-decay relationship for relatively abundant taxa at a scale over 50 m. (C) 2017 Elsevier GmbH. All rights reserved.	2017	168	10.1016/j.protis.2017.01.001
Djurhuus, A; Mikalsen, SO; Giebel, HA; Rogers, AD	Cutting through the smoke: the diversity of microorganisms in deep-sea hydrothermal plumes	ROYAL SOCIETY OPEN SCIENCE	There are still notable gaps regarding the detailed distribution of microorganisms between and within insular habitats such as deep-sea hydrothermal vents. This study investigates the community composition of black smoker vent microorganisms in the Southern Hemisphere, and changes thereof along a spatial and chemical gradient ranging from the vent plume to surrounding waters. We sampled two hydrothermal vent fields, one at the South West Indian Ridge (SWIR), the other at the East Scotia Ridge (ESR). Samples were collected across vent fields at varying vertical distances from the origin of the plumes. The microbial data were sequenced on an Illumina MiSeq platform for the 16SrRNA gene. A substantial amount of vent-specific putative chemosynthetic microorganisms were found, particularly in samples from focused hydrothermal venting. Common vent-specific organisms from both vent fields were the genera Arcobacter, Caminibacter and Sulfurimonas from the Epsilonproteobacteria and the SUP05 group from the Gammaproteobacteria. There were no major differences in microbial composition between SWIR and ESR for focused plume samples. However, within the ESR the diffuse flow and focused samples differed significantly in microbial community composition and relative abundance. For Epsilonproteobacteria, we found evidence of niche-specificity to hydrothermal vent environments. This taxon decreased in abundance by three orders of magnitude from the vent orifice to background water. Epsilonproteobacteria distribution followed a distance-decay relationship as vent-effluents mixed with the surrounding seawater. This study demonstrates strong habitat affinity of vent microorganisms on a metre scale with distinct environmental selection.	2017	4	10.1098/rsos.160829
Liao, JQ; Cao, XF; Wang, J; Zhao, L; Sun, JH; Jiang, DL; Huang, Y	Similar community assembly mechanisms underlie similar biogeography of rare and abundant bacteria in lakes on Yungui Plateau, China	LIMNOLOGY AND OCEANOGRAPHY	The revolution of molecular techniques in the field of microbial ecology not only allows an in-depth exploration of abundant bacteria, but also confirms the existence of rare biosphere. However, the mechanisms underlying the assembly process of abundant and rare bacteria in plateau lakes are still poorly understood. In the present study, distribution of abundant and rare bacteria in 21 lakes on Yungui Plateau, China and the relative importance of deterministic and neutral factors to their biogeographic patterns were examined. Results surprisingly showed that similar biogeographic patterns of rare and abundant taxa were generally shaped via similar assembly mechanisms. For both bacterial groups, deterministic process strongly influenced the distribution, while neutral process was not at play. In addition, they both exhibited a weak distance-decay relationship. Nevertheless, environmental drivers of rare and abundant taxa and their importance were not exactly the same. Water physicochemical property was the most dominant driver shaping the biogeographic pattern of rare taxa, followed by lake morphology and watershed land-use, while for abundant taxa, watershed land-use was the most dominant driver and lake morphology did not play a significant role. This study suggested that rare bacteria in high-altitude aquatic ecosystems might experience equally low extinction risk and respond to environmental changes in a similar manner to abundant ones, but their ecological niches and functions were not identical. To fully understand the assembly mechanism of bacterial community, it is necessary to differentiate the community by traits of taxa.	2017	62	10.1002/lno.10455
Marino, CM; Pawlik, JR; Lopez-Legentil, S; Erwin, PM	Latitudinal variation in the microbiome of the sponge Ircinia campana correlates with host haplotype but not anti-predatory chemical defense	MARINE ECOLOGY PROGRESS SERIES	Many marine sponges host diverse symbiotic microbial communities that have been implicated in the production of secondary metabolites. These metabolites may defend the host sponge from potential predators. Variability in symbiont communities across the range of the host sponge could alter levels of chemical defense. To investigate the relationship between symbiont composition and chemical defense, the microbiomes and palatability of tissue samples from Ircinia campana were characterized from 5 sites along a latitudinal gradient spanning temperate (South Atlantic Bight, SAB) and tropical (Caribbean) regions. Terminal restriction fragment length polymorphism analysis and Illumina sequencing of 16S ribosomal RNA genes revealed that I. campana from different locations contained significantly distinct microbiomes and exhibited a consistent relationship of lower symbiont similarity over greater geographic distance (i.e. distance-decay). However, crude organic extracts of all samples of I. campana were unpalatable to assay fish Thalassoma bifasciatum in laboratory assays, indicating no difference in chemical defense across locations. Distinct haplotypes of I. campana were detected in populations from the SAB and Caribbean, correlating with the observed patterns of latitudinal variation in microbial symbiont communities. Our findings indicate that I. campana is chemically defended from fish predators across the range of the species and that latitudinal variation occurs in the microbiome of I. campana, driven by a combination of host-specific factors and region-specific environmental filtering of symbiont communities.	2017	565	10.3354/meps12015
Manrique, JM; Jones, LR	Are ocean currents to slow to counteract SAR11 evolution? A next-generation sequencing, phylogeographic analysis	MOLECULAR PHYLOGENETICS AND EVOLUTION	This work set out to shed light on the phylogeography of the SAR11 Glade of Alphaproteobacteria, which is probably the most abundant group of heterotrophic bacteria on Earth. In particular, we assessed the degree to which empirical evidence (environmental DNA sequences) supports the concept that SAR11 lineages evolve faster than they are dispersed thus generating vicariant distributions, as predicted by recent simulation efforts. We generated 16S rRNA gene sequences from surface seawater collected at the South West Atlantic Ocean and combined these data with previously published sequences from similar environments from elsewhere. Altogether, these data consisted in about 1e6 reads, from which we generated 355,306 high quality sequences of which 95,318 corresponded to SAR11. Quantitative phylogeographic analyses supported the existence of a spatially explicit distribution of SAR11 species and provided evidence in favor of the idea that dispersal limitations significantly contribute to SAR11 radiation throughout the worlds oceans. Likewise, pairwise phylogenetic distances between the communities studied here were significantly correlated with the genetic divergences predicted by a previously proposed neutral model. As discussed in the paper, these findings are compatible with the concept that the ocean surface constitutes a homogeneous environment for SAR11, in agreement with previous experimental data. We discuss the implications of this hypothesis in a global change scenario. This is the first study combining high throughput sequencing and phylogenic analysis to study bacterial phylogeography and reporting a distance decay pattern of phylogenetic distances for bacteria. (C) 2016 Elsevier Inc. All rights reserved.	2017	107	10.1016/j.ympev.2016.11.015
Glassman, SI; Lubetkin, KC; Chung, JA; Bruns, TD	The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree islands at a fine scale	ECOSPHERE	The theory of island biogeography, which predicts that species richness is a function of island size and distance from the mainland, is well tested with macro-fauna and flora. Yet, in many ways, microbes are more appropriate for testing this and other ecological theories due to their small size and short generation times that translate to an ease of replication. We used a natural experimental system of isolated host islands to test the generality of the theory of island biogeography. Specifically, we tested whether ectomycorrhizal fungal (EMF) richness increased with tree size and decreased with distance from forest in a subalpine basin in Yosemite National Park for two congeneric pine species, Pinus albicaulis and Pinus contorta. We determined EMF richness with next-generation sequencing, measured the size and age of each tree island (n = 40), and calculated geographic distances from each tree to the nearest forest edge. We found that EMF richness increased with island size (as measured by tree volume) and tree age for both pine species and decreased with distance from forest edge for P. albicaulis. Thus, we show the applicability of the theory to microbial symbionts in harsh, dry, and likely non-equilibrium systems. In addition, we found that despite the fact that our tree islands had a mean age of 65 yr, a pioneer community of EMF dominated. We interpret this as evidence that water stress interacts with succession to create a sustained period of early-stage fungi even in mature trees.	2017	8	10.1002/ecs2.1677
Niu, LH; Li, Y; Xu, LL; Wang, PF; Zhang, WL; Wang, C; Cai, W; Wang, LQ	Ignored fungal community in activated sludge wastewater treatment plants: diversity and altitudinal characteristics	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	Fungi are important contributors to the various functions of activated sludge wastewater treatment plants (WWTPs); however, the diversity and geographic characteristics of fungal populations have remained vastly unexplored. Here, quantitative polymerase chain reaction and 454 pyrosequencingwere combined to investigate the abundance and diversity of the activated sludge fungal communities from 18 full-scale municipal WWTPs in China. Phylogenetic taxonomy revealed that the members of the fungal communities were assigned to 7 phyla and 195 genera. Ascomycota and Basidiomycota were the most abundant phyla, dominated by Pluteus, Wickerhamiella, and Penicillium. Twenty-three fungal genera, accounting for 50.1 % of the total reads, were shared by 18 WWTPs and constituted a core fungal community. The fungal communities presented similar communitydiversitybut different community structures across the WWTPs. Significant distance decay relationships were observed for the dissimilarity in fungal community structure and altitudinal distance between WWTPs. Additionally, the community evenness increased from 0.25 to 0.7 as the altitude increased. Dissolved oxygen and the C/N ratio were determined to be the most dominant contributors to the variation in fungal community structure via redundancy analysis. The observed data demonstrated the diverse occurrence of fungal species and gave a marked view of fungal community characteristics based on the previously unexplored fungal communities in activated sludge WWTPs.	2017	24	10.1007/s11356-016-8137-4
