AU	TI	SO	AB	PY	DI
Shen, CC; Xiong, JB; Zhang, HY; Feng, YZ; Lin, XG; Li, XY; Liang, WJ; Chu, HY	Soil pH drives the spatial distribution of bacterial communities along elevation on Changbai Mountain	SOIL BIOLOGY & BIOCHEMISTRY	The elevational patterns of diversity for plants and animals have been well established over the past century. However, it is unclear whether there is a general elevational distribution pattern for microbes. Changbai Mountain is one of few well conserved natural ecosystems, where the vertical distribution of vegetation is known to mirror the vegetation horizontal zonation from temperate to frigid zones on the Eurasian continent. Here, we present a comprehensive analysis of soil bacterial community composition and diversity along six elevations representing six typical vegetation types from forest to alpine tundra using a bar-coded pyrosequencing technique. The bacterial communities differed dramatically along elevations (vegetation types), and the community composition was significantly correlated with soil pH, carbon/nitrogen ratio (C/N), moisture or total organic carbon (TOC), respectively. Phylogenetic diversity was positively correlated with soil pH (P = 0.024), while phylotype richness was positively correlated with soil pH (P = 0.004), total nitrogen (TN) (P = 0.030), and negatively correlated with C/N ratio (P = 0.021). Our results emphasize that pH is a better predictor of soil bacterial elevational distribution and also suggest that vegetation types may indirectly affect soil bacterial elevational distribution through altering soil C and N status. (C) 2012 Elsevier Ltd. All rights reserved.	2013	10.1016/j.soilbio.2012.07.013
Morse, JL; Bernhardt, ES	Using N-15 tracers to estimate N2O and N-2 emissions from nitrification and denitrification in coastal plain wetlands under contrasting land-uses	SOIL BIOLOGY & BIOCHEMISTRY	Microbial nitrification and denitrification both can emit nitrous oxide (N2O), a major greenhouse gas, and the relative contribution of each pathway depends strongly on soil moisture conditions. We conducted a stable isotope tracer experiment to determine the contribution of nitrification and denitrification to N2O and dinitrogen (N-2) fluxes in coastal plain wetlands, and to determine the response of these processes to changing soil moisture. We added N-15-labeled nitrate (NOD or ammonium (NH4+) to intact soil cores collected from an agricultural field, a restored wetland, and a preserved forested wetland, and subjected the cores to a drying or wetting hydrologic manipulation. Across all soils and treatments, the combined fluxes of N2O and N2 ranged widely, between 0.23 and 2900 mu g N m(-2) h(-1), and N2O accounted for as little as 0% to as much as 43% of the total gaseous nitrogen (N) fluxes. Fluxes of both gases increased with increasing soil moisture in all soils and tracer treatments, but the relative enhancement of the two gases varied by soil type and N source. The N2O yields [N2O/(N2O+ N-2)] derived from both nitrification and denitrification were low (1-3%) in five of eight soils in each tracer experiment. Surprisingly, nitrification-derived N2O yields were highest (13-31%) in soils with the highest organic matter and soil moisture (restored wetland under simulated rain and forested wetland under drained and simulated rain), while denitrification-derived N2O yields (12-36%) were highest under simulated rain in the two mineral soils (agricultural field and mineral soils of the restored wetland), and under drained conditions in the forested wetland. These results are consistent with field-measured N2O fluxes in our previous work in these sites. We suggest that nitrification plays an important and underappreciated role in contributing to N2O fluxes from freshwater wetlands with often-saturated, acid-organic soils, while incomplete denitrification is the likely source of N2O following rain events in agricultural soils in southeastern U.S. coastal plain wetlands. (C) 2012 Elsevier Ltd. All rights reserved.	2013	10.1016/j.soilbio.2012.07.025
Williams, MA; Jangid, K; Shanmugam, SG; Whitman, WB	Bacterial communities in soil mimic patterns of vegetative succession and ecosystem climax but are resilient to change between seasons	SOIL BIOLOGY & BIOCHEMISTRY	Organism succession during ecosystem development has been researched for aboveground plant communities, however, the associated patterns of change in below-ground microbial communities are less described. In 2008, a study was initiated along a developmental sand-dune soil chronosequence bordering northern Lake Michigan near Wilderness Park (WP). It was hypothesized that soil bacterial communities would follow a pattern of change that is associated with soil, plant, and ecosystem development. This study included 5 replicate sites along 9 soils (n = 45) ranging in age from 105 to 4010 years since deposition. Soil bacterial community composition and diversity were studied using bacterial tag-encoded FLX amplicon pyrosequencing of the 16S rRNA gene. Bray-Curtis ordination indicated that bacterial community assembly changed along the developmental soil and plant gradient. The changes were not affected by seasonal differences, despite likely differences in plant root C (e.g. exudates), temperature, and water availability in soil. Soil base cations (Ca, Mg) and pH declined, showing log-linear correlations with soil age (r similar to 0.83, 0.84 and 0.81; P < 0.01). Bacterial diversity (Simpsons 1/D) declined rapidly during the initial stages of soil development ( similar to 105-450 y) and thereafter (>450 y) did not change. Turnover of plant taxa was also more rapid early during ecosystem development and correlated with bacterial community structural change (P < 0.000001; r = 0.56). It is hypothesized that plants help to drive pedogenic change during early (<450 y) soil development (e.g. pH decline, cation leaching) which drive selection of soil bacterial communities. In mature soils (similar to 450-4000 y), resilient and stable soil bacterial community structures developed, mimicking steady-state climax communities that were observed during latter stages of primary plant succession. These relationships point to possible feedbacks between plant and bacterial communities during ecosystem development. (C) 2012 Elsevier Ltd. All rights reserved.	2013	10.1016/j.soilbio.2012.08.023
Colares, GB; Melo, VMM	Relating microbial community structure and environmental variables in mangrove sediments inside Rhizophora mangle L. habitats	APPLIED SOIL ECOLOGY	This study aimed to access the structure of microbial communities in sediments in the root zone of the red mangrove (Rhizophora mangle) in three sites with an increasing distance from the sea inside a mangrove forest in two distinct periods (dry and wet seasons) using denaturing gradient gel electrophoresis (DGGE). These data were correlated to environmental variables and sediments characteristics by using redundancy analysis (RDA) which revealed that the distribution of the microbial communities is significantly (p<0.05) influenced by the silt-clay percentages for both Bacteria and Archaea and organic matter content significantly influences the distribution of Archaea. The archaeal community also exhibited an annual clustering pattern. The sites had only 30% and 35% of similarity of bacterial and archaeal communities, respectively, and this could be interpreted as being the core microbiome of R. mangle. Thus the spatial distribution of microbial communities inside the red mangrove habitats seems to be primarily controlled by the abiotic variables of each habitat. (C) 2012 Elsevier B.V. All rights reserved.	2013	10.1016/j.apsoil.2012.12.004
Ranjard, L; Dequiedt, S; Prevost-Boure, NC; Thioulouse, J; Saby, NPA; Lelievre, M; Maron, PA; Morin, FER; Bispo, A; Jolivet, C; Arrouays, D; Lemanceau, P	Turnover of soil bacterial diversity driven by wide-scale environmental heterogeneity	NATURE COMMUNICATIONS	Spatial scaling and determinism of the wide-scale distribution of macroorganism diversity has been largely demonstrated over a century. For microorganisms, and especially for soil bacteria, this fundamental question requires more thorough investigation, as little information has been reported to date. Here by applying the taxa-area relationship to the largest spatially explicit soil sampling available in France (2,085 soils, area covered similar to 5.3 x 10(5) km(2)) and developing an innovative evaluation of the habitat-area relationship, we show that the turnover rate of bacterial diversity in soils on a wide scale is highly significant and strongly correlated with the turnover rate of soil habitat. As the diversity of micro-and macroorganisms appears to be driven by similar processes (dispersal and selection), maintaining diverse and spatially structured habitats is essential for soil biological patrimony and the resulting ecosystem services.	2013	10.1038/ncomms2431
Toner, BM; Lesniewski, RA; Marlow, JJ; Briscoe, LJ; Santelli, CM; Bach, W; Orcutt, BN; Edwards, KJ	Mineralogy Drives Bacterial Biogeography of Hydrothermally Inactive Seafloor Sulfide Deposits	GEOMICROBIOLOGY JOURNAL	Mid-ocean ridge hydrothermal venting creates sulfide deposits containing gradients in mineralogy, fluid chemistry, and temperature. Even when hydrothermal circulation ceases, sulfides are known to host microbial communities. The relationship between mineralogy and microbial community composition in low-temperature, rock-hosted systems has not been resolved at any spatial scale, local or global. To examine the hypothesis that geochemistry of seafloor deposits is a dominant parameter driving environmental pressure for bacterial communities at low-temperature, the shared community membership, richness, and structure was measured using 16S rRNA gene sequences. The focus of the study was on hydrothermally inactive seafloor deposits from multiple locations within one deposit (e.g., single extinct chimney), within one vent field (intra-vent field), and among globally distributed vent fields from three ocean basins (inter-vent field). Distinct mineral substrates, such as hydrothermally inactive sulfides versus basalts, host different communities at low temperature in spite of close geographic proximity and contact with the same hydrothermally influenced deep-sea water. Furthermore, bacterial communities inhabiting hydrothermally inactive sulfide deposits from geographically distant locations cluster together in community cladograms to the exclusion of other deep-sea substrates and settings. From this study, we conclude that at low temperature, mineralogy was a more important variable determining microbial community composition than geographic factors. Supplemental materials are available for this article. Go to the publishers online edition of Geomicrobiology Journal to view the supplemental file.	2013	10.1080/01490451.2012.688925
Waters, JM; Fraser, CI; Hewitt, GM	Founder takes all: density-dependent processes structure biodversity	TRENDS IN ECOLOGY & EVOLUTION	Density-dependent processes play a key role in the spatial structuring of biodiversity. Specifically, interrelated demographic processes, such as gene surfing, high-density blocking, and competitive exclusion, can generate striking geographic contrasts in the distributions of genes and species. Here, we propose that well-studied evolutionary and ecological biogeographic patterns of postglacial recolonization, progressive island colonization, microbial sectoring, and even the Out of Africa pattern of human expansion, are fundamentally similar, underpinned by a founder takes all density-dependent principle. Additionally, we hypothesize that older historic constraints of density-dependent processes are seen today in the dramatic biogeographic shifts that occur in response to human-mediated extinction events, whereby surviving lineages rapidly expand their ranges to replace extinct sister taxa.	2013	10.1016/j.tree.2012.08.024
Smith, DJ; Timonen, HJ; Jaffe, DA; Griffin, DW; Birmele, MN; Perry, KD; Ward, PD; Roberts, MS	Intercontinental Dispersal of Bacteria and Archaea by Transpacific Winds	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	Microorganisms are abundant in the upper atmosphere, particularly downwind of arid regions, where winds can mobilize large amounts of topsoil and dust. However, the challenge of collecting samples from the upper atmosphere and reliance upon culture-based characterization methods have prevented a comprehensive understanding of globally dispersed airborne microbes. In spring 2011 at the Mt. Bachelor Observatory in North America (2.8 km above sea level), we captured enough microbial biomass in two transpacific air plumes to permit a microarray analysis using 16S rRNA genes. Thousands of distinct bacterial taxa spanning a wide range of phyla and surface environments were detected before, during, and after each Asian long-range transport event. Interestingly, the transpacific plumes delivered higher concentrations of taxa already in the background air (particularly Proteobacteria, Actinobacteria, and Firmicutes). While some bacterial families and a few marine archaea appeared for the first and only time during the plumes, the microbial community compositions were similar, despite the unique transport histories of the air masses. It seems plausible, when coupled with atmospheric modeling and chemical analysis, that microbial biogeography can be used to pinpoint the source of intercontinental dust plumes. Given the degree of richness measured in our study, the overall contribution of Asian aerosols to microbial species in North American air warrants additional investigation.	2013	10.1128/AEM.03029-12
Flores, GE; Bates, ST; Caporaso, JG; Lauber, CL; Leff, JW; Knight, R; Fierer, N	Diversity, distribution and sources of bacteria in residential kitchens	ENVIRONMENTAL MICROBIOLOGY	Bacteria readily colonize kitchen surfaces, and the exchange of microbes between humans and the kitchen environment can impact human health. However, we have a limited understanding of the overall diversity of these communities, how they differ across surfaces and sources of bacteria to kitchen surfaces. Here we used high-throughput sequencing of the 16S rRNA gene to explore biogeographical patterns of bacteria across >?80 surfaces within the kitchens of each of four households. In total, 34 bacterial and two archaeal phyla were identified, with most sequences belonging to the Actinobacteria, Bacteroidetes, Firmicutes and Proteobacteria. Genera known to contain common food-borne pathogens were low in abundance but broadly distributed throughout the kitchens, with different taxa exhibiting distinct distribution patterns. The most diverse communities were associated with infrequently cleaned surfaces such as fans above stoves, refrigerator/freezer door seals and floors. In contrast, the least diverse communities were observed in and around sinks, which were dominated by biofilm-forming Gram-negative lineages. Community composition was influenced by conditions on individual surfaces, usage patterns and dispersal from source environments. Human skin was the primary source of bacteria across all kitchen surfaces, with contributions from food and faucet water dominating in a few specific locations. This study demonstrates that diverse bacterial communities are widely distributed in residential kitchens and that the composition of these communities is often predictable. These results also illustrate the ease with which human- and food-associated bacteria can be transferred in residential settings to kitchen surfaces.	2013	10.1111/1462-2920.12036
Ling, ZX; Liu, X; Wang, YZ; Li, LJ; Xiang, C	Pyrosequencing Analysis of the Salivary Microbiota of Healthy Chinese Children and Adults	MICROBIAL ECOLOGY	Describing the biogeography of bacterial communities within the human body is critical for establishing healthy baselines from which to detect differences associated with diseases. Little is known, however, about the baseline of normal salivary microbiota from healthy Chinese children and adults. With parallel barcoded 454 pyrosequencing, the bacterial diversity and richness of saliva were thoroughly investigated from ten healthy Chinese children and adults. The overall taxonomic distribution of our metagenomic data demonstrated that the diversity of salivary microbiota from children was more complex than adults, while the composition and richness of salivary microbiota were similar in children and adults, especially for predominant bacteria. A large number of bacterial phylotypes were shared by healthy children and adults, indicating the existence of a core salivary microbiome. In children and adults, the vast majority of sequences in salivary microbiota belonged to Streptococcus, Prevotella, Neisseria, Haemophilus, Porphyromonas, Gemella, Rothia, Granulicatella, Fusobacterium, Actinomyces, Veillonella, and Aggregatibacter, which constituted the major components of normal salivary microbiota. With the exception of Actinomyces, the other seven non-predominant bacteria including Moraxella, Leptotrichia, Peptostreptococcus, Eubacterium, and members of Neisseriaceae, Flavobacteriaceae, and SR1 showed significant differences between children and adults (p < 0.05). We first established the framework of normal salivary microbiota from healthy Chinese children and adults. Our data represent a critical step for determining the diversity of healthy microbiota in Chinese children and adults, and our data established a platform for additional large-scale studies focusing on the interactions between health and diseases in the future.	2013	10.1007/s00248-012-0123-x
